official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.DIGTOOLS,0.35070696490000003
Republic of Angola,Angola,AGO,C.CAPABILITIES.DIGTOOLS,0.26480096280000004
Argentine Republic,Argentina,ARG,C.CAPABILITIES.DIGTOOLS,0.6481296650999999
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.DIGTOOLS,0.6288625962
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.DIGTOOLS,0.8656311581999999
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.DIGTOOLS,0.7754134209
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.DIGTOOLS,0.5706133742055555
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.DIGTOOLS,0.7670944334
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.DIGTOOLS,0.4453724434
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.DIGTOOLS,0.7132884427777778
Belize,Belize,BLZ,C.CAPABILITIES.DIGTOOLS,0.5706133742055555
Republic of Benin,Benin,BEN,C.CAPABILITIES.DIGTOOLS,0.4699525283
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.DIGTOOLS,0.3322687073
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.DIGTOOLS,0.3306390311
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.DIGTOOLS,0.7281874104
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.DIGTOOLS,0.7275329315000001
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.DIGTOOLS,0.1388642251
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.DIGTOOLS,0.49530100699999996
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.DIGTOOLS,0.39265961670000005
Canada,Canada,CAN,C.CAPABILITIES.DIGTOOLS,0.7883776376999999
Republic of Chile,Chile,CHL,C.CAPABILITIES.DIGTOOLS,0.7893914277999999
People's Republic of China,China,CHN,C.CAPABILITIES.DIGTOOLS,0.7163557559499999
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.DIGTOOLS,0.8160903845999999
Republic of Colombia,Colombia,COL,C.CAPABILITIES.DIGTOOLS,0.6064431697
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.DIGTOOLS,0.7339968082999999
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.DIGTOOLS,0.526823518
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.DIGTOOLS,0.8064927813
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.DIGTOOLS,0.5772830637999999
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.DIGTOOLS,0.8544009509
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.DIGTOOLS,0.6725998273
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.DIGTOOLS,0.5499338867
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.DIGTOOLS,0.7060391974
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.DIGTOOLS,0.481259921
Republic of Estonia,Estonia,EST,C.CAPABILITIES.DIGTOOLS,0.9858362158
Republic of Finland,Finland,FIN,C.CAPABILITIES.DIGTOOLS,0.9098501326
French Republic,France,FRA,C.CAPABILITIES.DIGTOOLS,0.8181067862
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.DIGTOOLS,0.49724261869999997
Georgia,Georgia,GEO,C.CAPABILITIES.DIGTOOLS,0.6767385608642857
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.DIGTOOLS,0.8765805704
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.DIGTOOLS,0.488078052
Hellenic Republic,Greece,GRC,C.CAPABILITIES.DIGTOOLS,0.5617200949
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.DIGTOOLS,0.5072884295
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.DIGTOOLS,0.5706133742055555
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.DIGTOOLS,0.5706133742055555
Republic of Honduras,Honduras,HND,C.CAPABILITIES.DIGTOOLS,0.5706133742055555
Republic of India,India,IND,C.CAPABILITIES.DIGTOOLS,0.5847990572
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.DIGTOOLS,0.7586248013
Ireland,Ireland,IRL,C.CAPABILITIES.DIGTOOLS,0.7268675403
State of Israel,Israel,ISR,C.CAPABILITIES.DIGTOOLS,0.9649956297
Italian Republic,Italy,ITA,C.CAPABILITIES.DIGTOOLS,0.6277820008
Jamaica,Jamaica,JAM,C.CAPABILITIES.DIGTOOLS,0.5786899671
Hashemite Kingdom of Jordan,Jordan,JOR,C.CAPABILITIES.DIGTOOLS,0.6735508045
Republic of Kazakhstan,Kazakhstan,KAZ,C.CAPABILITIES.DIGTOOLS,0.5336480368000001
Republic of Kenya,Kenya,KEN,C.CAPABILITIES.DIGTOOLS,0.7287812055
Republic of Kosovo,Kosovo,XKX,C.CAPABILITIES.DIGTOOLS,0.592998185525
Kyrgyz Republic,Kyrgyz Republic,KGZ,C.CAPABILITIES.DIGTOOLS,0.32031348979999996
Republic of Latvia,Latvia,LVA,C.CAPABILITIES.DIGTOOLS,0.8480637647
Republic of Liberia,Liberia,LBR,C.CAPABILITIES.DIGTOOLS,0.413128991767742
Republic of Lithuania,Lithuania,LTU,C.CAPABILITIES.DIGTOOLS,0.8891168076
Republic of Malawi,Malawi,MWI,C.CAPABILITIES.DIGTOOLS,0.18136143310000002
