official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.HUMANCAP,0.8001
Republic of Angola,Angola,AGO,C.CAPABILITIES.HUMANCAP,0.5295
Argentine Republic,Argentina,ARG,C.CAPABILITIES.HUMANCAP,0.91
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.HUMANCAP,0.7872
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.HUMANCAP,1.0
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.HUMANCAP,0.7713
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.HUMANCAP,0.7546
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.HUMANCAP,0.8439
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.HUMANCAP,0.5731
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.HUMANCAP,0.8912
Belize,Belize,BLZ,C.CAPABILITIES.HUMANCAP,0.6919
Republic of Benin,Benin,BEN,C.CAPABILITIES.HUMANCAP,0.4404
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.HUMANCAP,0.7379
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.HUMANCAP,0.6911
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.HUMANCAP,0.7803
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.HUMANCAP,0.8408
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.HUMANCAP,0.2911
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.HUMANCAP,0.5344
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.HUMANCAP,0.5971
Canada,Canada,CAN,C.CAPABILITIES.HUMANCAP,0.9029
Republic of Chile,Chile,CHL,C.CAPABILITIES.HUMANCAP,0.8643
People's Republic of China,China,CHN,C.CAPABILITIES.HUMANCAP,0.7396
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.HUMANCAP,0.79084
Republic of Colombia,Colombia,COL,C.CAPABILITIES.HUMANCAP,0.7723
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.HUMANCAP,0.8428
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.HUMANCAP,0.8414
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.HUMANCAP,0.903
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.HUMANCAP,0.3808
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.HUMANCAP,0.9588
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.HUMANCAP,0.7419
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.HUMANCAP,0.7793
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.HUMANCAP,0.6192
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.HUMANCAP,0.6242
Republic of Estonia,Estonia,EST,C.CAPABILITIES.HUMANCAP,0.9266
Republic of Finland,Finland,FIN,C.CAPABILITIES.HUMANCAP,0.9549
French Republic,France,FRA,C.CAPABILITIES.HUMANCAP,0.8612
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.HUMANCAP,0.363
Georgia,Georgia,GEO,C.CAPABILITIES.HUMANCAP,0.8717
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.HUMANCAP,0.9362
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.HUMANCAP,0.593
Hellenic Republic,Greece,GRC,C.CAPABILITIES.HUMANCAP,0.8905
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.HUMANCAP,0.552
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.HUMANCAP,0.6462
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.HUMANCAP,0.3839
Republic of Honduras,Honduras,HND,C.CAPABILITIES.HUMANCAP,0.5568
Republic of India,India,IND,C.CAPABILITIES.HUMANCAP,0.5848
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.HUMANCAP,0.7342
Ireland,Ireland,IRL,C.CAPABILITIES.HUMANCAP,0.9494
State of Israel,Israel,ISR,C.CAPABILITIES.HUMANCAP,0.8924
Italian Republic,Italy,ITA,C.CAPABILITIES.HUMANCAP,0.8466
Jamaica,Jamaica,JAM,C.CAPABILITIES.HUMANCAP,0.7142
Hashemite Kingdom of Jordan,Jordan,JOR,C.CAPABILITIES.HUMANCAP,0.68
Republic of Kazakhstan,Kazakhstan,KAZ,C.CAPABILITIES.HUMANCAP,0.8866
Republic of Kenya,Kenya,KEN,C.CAPABILITIES.HUMANCAP,0.5812
Republic of Kosovo,Kosovo,XKX,C.CAPABILITIES.HUMANCAP,0.822592857142857
Kyrgyz Republic,Kyrgyz Republic,KGZ,C.CAPABILITIES.HUMANCAP,0.7873
Republic of Latvia,Latvia,LVA,C.CAPABILITIES.HUMANCAP,0.9172
Republic of Liberia,Liberia,LBR,C.CAPABILITIES.HUMANCAP,0.3933
Republic of Lithuania,Lithuania,LTU,C.CAPABILITIES.HUMANCAP,0.9218
Republic of Malawi,Malawi,MWI,C.CAPABILITIES.HUMANCAP,0.4812
Malaysia,Malaysia,MYS,C.CAPABILITIES.HUMANCAP,0.7513
Republic of Malta,Malta,MLT,C.CAPABILITIES.HUMANCAP,0.829
United Mexican States,Mexico,MEX,C.CAPABILITIES.HUMANCAP,0.7727
Mongolia,Mongolia,MNG,C.CAPABILITIES.HUMANCAP,0.8063
Kingdom of Morocco,Morocco,MAR,C.CAPABILITIES.HUMANCAP,0.6152
Republic of Mozambique,Mozambique,MOZ,C.CAPABILITIES.HUMANCAP,0.4222
Republic of Namibia,Namibia,NAM,C.CAPABILITIES.HUMANCAP,0.6558
Federal Democratic Republic of Nepal,Nepal,NPL,C.CAPABILITIES.HUMANCAP,0.5405
Kingdom of the Netherlands,Netherlands,NLD,C.CAPABILITIES.HUMANCAP,0.9349
New Caledonia,New Caledonia,NCL,C.CAPABILITIES.HUMANCAP,0.6059249999999999
New Zealand,New Zealand,NZL,C.CAPABILITIES.HUMANCAP,0.9516
Federal Republic of Nigeria,Nigeria,NGA,C.CAPABILITIES.HUMANCAP,0.4507
Sultanate of Oman,Oman,OMN,C.CAPABILITIES.HUMANCAP,0.7751
Republic of Panama,Panama,PAN,C.CAPABILITIES.HUMANCAP,0.7421
Republic of Paraguay,Paraguay,PRY,C.CAPABILITIES.HUMANCAP,0.6968
Republic of Peru,Peru,PER,C.CAPABILITIES.HUMANCAP,0.794
Republic of the Philippines,Philippines,PHL,C.CAPABILITIES.HUMANCAP,0.7544
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.HUMANCAP,0.8463
State of Qatar,Qatar,QAT,C.CAPABILITIES.HUMANCAP,0.6698
Republic of Korea,South Korea,KOR,C.CAPABILITIES.HUMANCAP,0.8997
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.HUMANCAP,0.7432
Romania,Romania,ROU,C.CAPABILITIES.HUMANCAP,0.7995
Russian Federation,Russia,RUS,C.CAPABILITIES.HUMANCAP,0.8833
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.HUMANCAP,0.5261
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.HUMANCAP,0.7205
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.HUMANCAP,0.8648
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.HUMANCAP,0.3332
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.HUMANCAP,0.3144
Slovak Republic,Slovakia,SVK,C.CAPABILITIES.HUMANCAP,0.8286
Republic of South Africa,South Africa,ZAF,C.CAPABILITIES.HUMANCAP,0.7371
Kingdom of Spain,Spain,ESP,C.CAPABILITIES.HUMANCAP,0.8989
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,C.CAPABILITIES.HUMANCAP,0.766
State of Palestine,Palestine,PSE,C.CAPABILITIES.HUMANCAP,0.7247529411764706
Kingdom of Sweden,Sweden,SWE,C.CAPABILITIES.HUMANCAP,0.9471
Republic of China,Taiwan,TWN,C.CAPABILITIES.HUMANCAP,0.79084
Republic of Tajikistan,Tajikistan,TJK,C.CAPABILITIES.HUMANCAP,0.7274
Kingdom of Thailand,Thailand,THA,C.CAPABILITIES.HUMANCAP,0.7751
Togolese Republic,Togo,TGO,C.CAPABILITIES.HUMANCAP,0.5373
