official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.PFREEDOM,0.67
Republic of Angola,Angola,AGO,C.CAPABILITIES.PFREEDOM,0.32
Argentine Republic,Argentina,ARG,C.CAPABILITIES.PFREEDOM,0.85
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.PFREEDOM,0.53
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.PFREEDOM,0.97
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.PFREEDOM,0.1
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.PFREEDOM,0.91
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.PFREEDOM,0.11
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.PFREEDOM,0.39
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.PFREEDOM,0.19
Belize,Belize,BLZ,C.CAPABILITIES.PFREEDOM,0.86
Republic of Benin,Benin,BEN,C.CAPABILITIES.PFREEDOM,0.66
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.PFREEDOM,0.63
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.PFREEDOM,0.72
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.PFREEDOM,0.75
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.PFREEDOM,0.8
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.PFREEDOM,0.56
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.PFREEDOM,0.25
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.PFREEDOM,0.18
Canada,Canada,CAN,C.CAPABILITIES.PFREEDOM,0.98
Republic of Chile,Chile,CHL,C.CAPABILITIES.PFREEDOM,0.9
People's Republic of China,China,CHN,C.CAPABILITIES.PFREEDOM,0.1
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.PFREEDOM,0.55
Republic of Colombia,Colombia,COL,C.CAPABILITIES.PFREEDOM,0.66
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.PFREEDOM,0.91
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.PFREEDOM,0.85
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.PFREEDOM,0.91
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.PFREEDOM,0.51
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.PFREEDOM,0.97
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.PFREEDOM,0.67
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.PFREEDOM,0.65
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.PFREEDOM,0.21
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.PFREEDOM,0.66
Republic of Estonia,Estonia,EST,C.CAPABILITIES.PFREEDOM,0.94
Republic of Finland,Finland,FIN,C.CAPABILITIES.PFREEDOM,1.0
French Republic,France,FRA,C.CAPABILITIES.PFREEDOM,0.9
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.PFREEDOM,0.46
Georgia,Georgia,GEO,C.CAPABILITIES.PFREEDOM,0.61
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.PFREEDOM,0.94
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.PFREEDOM,0.82
Hellenic Republic,Greece,GRC,C.CAPABILITIES.PFREEDOM,0.88
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.PFREEDOM,0.52
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.PFREEDOM,0.74
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.PFREEDOM,0.38
Republic of Honduras,Honduras,HND,C.CAPABILITIES.PFREEDOM,0.45
Republic of India,India,IND,C.CAPABILITIES.PFREEDOM,0.71
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.PFREEDOM,0.61
Ireland,Ireland,IRL,C.CAPABILITIES.PFREEDOM,0.97
State of Israel,Israel,ISR,C.CAPABILITIES.PFREEDOM,0.76
Italian Republic,Italy,ITA,C.CAPABILITIES.PFREEDOM,0.89
Jamaica,Jamaica,JAM,C.CAPABILITIES.PFREEDOM,0.78
Hashemite Kingdom of Jordan,Jordan,JOR,C.CAPABILITIES.PFREEDOM,0.37
Republic of Kazakhstan,Kazakhstan,KAZ,C.CAPABILITIES.PFREEDOM,0.23
Republic of Kenya,Kenya,KEN,C.CAPABILITIES.PFREEDOM,0.48
Republic of Kosovo,Kosovo,XKX,C.CAPABILITIES.PFREEDOM,0.56
Kyrgyz Republic,Kyrgyz Republic,KGZ,C.CAPABILITIES.PFREEDOM,0.39
Republic of Latvia,Latvia,LVA,C.CAPABILITIES.PFREEDOM,0.89
Republic of Liberia,Liberia,LBR,C.CAPABILITIES.PFREEDOM,0.6
Republic of Lithuania,Lithuania,LTU,C.CAPABILITIES.PFREEDOM,0.91
Republic of Malawi,Malawi,MWI,C.CAPABILITIES.PFREEDOM,0.62
Malaysia,Malaysia,MYS,C.CAPABILITIES.PFREEDOM,0.52
Republic of Malta,Malta,MLT,C.CAPABILITIES.PFREEDOM,0.9
United Mexican States,Mexico,MEX,C.CAPABILITIES.PFREEDOM,0.62
Mongolia,Mongolia,MNG,C.CAPABILITIES.PFREEDOM,0.84
Kingdom of Morocco,Morocco,MAR,C.CAPABILITIES.PFREEDOM,0.37
Republic of Mozambique,Mozambique,MOZ,C.CAPABILITIES.PFREEDOM,0.45
Republic of Namibia,Namibia,NAM,C.CAPABILITIES.PFREEDOM,0.77
Federal Democratic Republic of Nepal,Nepal,NPL,C.CAPABILITIES.PFREEDOM,0.56
Kingdom of the Netherlands,Netherlands,NLD,C.CAPABILITIES.PFREEDOM,0.99
New Caledonia,New Caledonia,NCL,C.CAPABILITIES.PFREEDOM,0.7075
New Zealand,New Zealand,NZL,C.CAPABILITIES.PFREEDOM,0.97
Federal Republic of Nigeria,Nigeria,NGA,C.CAPABILITIES.PFREEDOM,0.47
Sultanate of Oman,Oman,OMN,C.CAPABILITIES.PFREEDOM,0.23
Republic of Panama,Panama,PAN,C.CAPABILITIES.PFREEDOM,0.84
Republic of Paraguay,Paraguay,PRY,C.CAPABILITIES.PFREEDOM,0.65
Republic of Peru,Peru,PER,C.CAPABILITIES.PFREEDOM,0.72
Republic of the Philippines,Philippines,PHL,C.CAPABILITIES.PFREEDOM,0.59
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.PFREEDOM,0.96
State of Qatar,Qatar,QAT,C.CAPABILITIES.PFREEDOM,0.25
Republic of Korea,South Korea,KOR,C.CAPABILITIES.PFREEDOM,0.83
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.PFREEDOM,0.6
Romania,Romania,ROU,C.CAPABILITIES.PFREEDOM,0.83
Russian Federation,Russia,RUS,C.CAPABILITIES.PFREEDOM,0.2
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.PFREEDOM,0.22
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.PFREEDOM,0.92
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.PFREEDOM,0.07
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.PFREEDOM,0.71
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.PFREEDOM,0.65
Slovak Republic,Slovakia,SVK,C.CAPABILITIES.PFREEDOM,0.88
