official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,G.PI.RTIF,0.8466666666666667
Republic of Angola,Angola,AGO,G.PI.RTIF,0.5066666666666667
Argentine Republic,Argentina,ARG,G.PI.RTIF,0.6133333333333333
Republic of Armenia,Armenia,ARM,G.PI.RTIF,0.6666666666666666
Commonwealth of Australia,Australia,AUS,G.PI.RTIF,0.56
Republic of Azerbaijan,Azerbaijan,AZE,G.PI.RTIF,0.7666666666666667
Commonwealth of the Bahamas,Bahamas,BHS,G.PI.RTIF,0.6866666666666666
Kingdom of Bahrain,Bahrain,BHR,G.PI.RTIF,0.5755555555555555
People's Republic of Bangladesh,Bangladesh,BGD,G.PI.RTIF,0.7266666666666667
Republic of Belarus,Belarus,BLR,G.PI.RTIF,0.5896296296296296
Belize,Belize,BLZ,G.PI.RTIF,0.5533333333333333
Republic of Benin,Benin,BEN,G.PI.RTIF,0.3466666666666667
Plurinational State of Bolivia,Bolivia,BOL,G.PI.RTIF,0.4666666666666667
Republic of Botswana,Botswana,BWA,G.PI.RTIF,0.6101587301587301
Federative Republic of Brazil,Brazil,BRA,G.PI.RTIF,0.72
Republic of Bulgaria,Bulgaria,BGR,G.PI.RTIF,0.6066666666666667
Burkina Faso,Burkina Faso,BFA,G.PI.RTIF,0.5266666666666666
Kingdom of Cambodia,Cambodia,KHM,G.PI.RTIF,0.4666666666666667
Republic of Cameroon,Cameroon,CMR,G.PI.RTIF,0.6101587301587301
Canada,Canada,CAN,G.PI.RTIF,0.6266666666666667
Republic of Chile,Chile,CHL,G.PI.RTIF,0.6266666666666667
People's Republic of China,China,CHN,G.PI.RTIF,0.4666666666666667
Hong Kong SAR,Hong Kong,HKG,G.PI.RTIF,0.516
Republic of Colombia,Colombia,COL,G.PI.RTIF,0.68
Republic of Costa Rica,Costa Rica,CRI,G.PI.RTIF,0.6172222222222222
Republic of Croatia,Croatia,HRV,G.PI.RTIF,0.84
Czech Republic,Czech Republic,CZE,G.PI.RTIF,0.48
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,G.PI.RTIF,0.5066666666666667
Kingdom of Denmark,Denmark,DNK,G.PI.RTIF,0.4266666666666667
Dominican Republic,Dominican Republic,DOM,G.PI.RTIF,0.3933333333333333
Republic of Ecuador,Ecuador,ECU,G.PI.RTIF,0.49333333333333335
Arab Republic of Egypt,Egypt,EGY,G.PI.RTIF,0.5711111111111111
Republic of El Salvador,El Salvador,SLV,G.PI.RTIF,0.8133333333333334
Republic of Estonia,Estonia,EST,G.PI.RTIF,0.64
Republic of Finland,Finland,FIN,G.PI.RTIF,0.7
French Republic,France,FRA,G.PI.RTIF,0.4266666666666667
Republic of the Gambia,Gambia,GMB,G.PI.RTIF,0.6101587301587301
Georgia,Georgia,GEO,G.PI.RTIF,0.6466666666666666
Federal Republic of Germany,Germany,DEU,G.PI.RTIF,0.36
Republic of Ghana,Ghana,GHA,G.PI.RTIF,0.6466666666666666
Hellenic Republic,Greece,GRC,G.PI.RTIF,0.43333333333333335
Republic of Guatemala,Guatemala,GTM,G.PI.RTIF,0.6133333333333333
Co-operative Republic of Guyana,Guyana,GUY,G.PI.RTIF,0.46
Republic of Haiti,Haiti,HTI,G.PI.RTIF,0.6172222222222222
Republic of Honduras,Honduras,HND,G.PI.RTIF,0.56
Republic of India,India,IND,G.PI.RTIF,0.8466666666666667
Republic of Indonesia,Indonesia,IDN,G.PI.RTIF,0.6733333333333333
Ireland,Ireland,IRL,G.PI.RTIF,0.6333333333333333
State of Israel,Israel,ISR,G.PI.RTIF,0.5333333333333333
Italian Republic,Italy,ITA,G.PI.RTIF,0.5666666666666667
Jamaica,Jamaica,JAM,G.PI.RTIF,0.5933333333333334
Hashemite Kingdom of Jordan,Jordan,JOR,G.PI.RTIF,0.37333333333333335
Republic of Kazakhstan,Kazakhstan,KAZ,G.PI.RTIF,0.4066666666666667
Republic of Kenya,Kenya,KEN,G.PI.RTIF,0.7533333333333333
Republic of Kosovo,Kosovo,XKX,G.PI.RTIF,0.7066666666666667
Kyrgyz Republic,Kyrgyz Republic,KGZ,G.PI.RTIF,0.58
Republic of Latvia,Latvia,LVA,G.PI.RTIF,0.47333333333333333
Republic of Liberia,Liberia,LBR,G.PI.RTIF,0.8266666666666667
Republic of Lithuania,Lithuania,LTU,G.PI.RTIF,0.4266666666666667
Republic of Malawi,Malawi,MWI,G.PI.RTIF,0.6933333333333334
Malaysia,Malaysia,MYS,G.PI.RTIF,0.4666666666666667
Republic of Malta,Malta,MLT,G.PI.RTIF,0.52
United Mexican States,Mexico,MEX,G.PI.RTIF,0.9066666666666666
Mongolia,Mongolia,MNG,G.PI.RTIF,0.58
Kingdom of Morocco,Morocco,MAR,G.PI.RTIF,0.4866666666666667
Republic of Mozambique,Mozambique,MOZ,G.PI.RTIF,0.4
Republic of Namibia,Namibia,NAM,G.PI.RTIF,0.6101587301587301
Federal Democratic Republic of Nepal,Nepal,NPL,G.PI.RTIF,0.7533333333333333
Kingdom of the Netherlands,Netherlands,NLD,G.PI.RTIF,0.5466666666666666
New Caledonia,New Caledonia,NCL,G.PI.RTIF,0.61
New Zealand,New Zealand,NZL,G.PI.RTIF,0.6266666666666667
Federal Republic of Nigeria,Nigeria,NGA,G.PI.RTIF,0.5866666666666667
Sultanate of Oman,Oman,OMN,G.PI.RTIF,0.5755555555555555
Republic of Panama,Panama,PAN,G.PI.RTIF,0.6666666666666666
Republic of Paraguay,Paraguay,PRY,G.PI.RTIF,0.41333333333333333
Republic of Peru,Peru,PER,G.PI.RTIF,0.62
Republic of the Philippines,Philippines,PHL,G.PI.RTIF,0.30666666666666664
Portuguese Republic,Portugal,PRT,G.PI.RTIF,0.4866666666666667
State of Qatar,Qatar,QAT,G.PI.RTIF,0.5755555555555555
Republic of Korea,South Korea,KOR,G.PI.RTIF,0.6466666666666666
Republic of Moldova,Moldova,MDA,G.PI.RTIF,0.7333333333333333
Romania,Romania,ROU,G.PI.RTIF,0.5533333333333333
Russian Federation,Russia,RUS,G.PI.RTIF,0.6533333333333333
Republic of Rwanda,Rwanda,RWA,G.PI.RTIF,0.5666666666666667
Saint Lucia,St. Lucia,LCA,G.PI.RTIF,0.6172222222222222
Kingdom of Saudi Arabia,Saudi Arabia,SAU,G.PI.RTIF,0.5755555555555555
Republic of Senegal,Senegal,SEN,G.PI.RTIF,0.6101587301587301
Republic of Sierra Leone,Sierra Leone,SLE,G.PI.RTIF,0.8133333333333334
Slovak Republic,Slovakia,SVK,G.PI.RTIF,0.4533333333333333
Republic of South Africa,South Africa,ZAF,G.PI.RTIF,0.7933333333333333
Kingdom of Spain,Spain,ESP,G.PI.RTIF,0.4866666666666667
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,G.PI.RTIF,0.8733333333333333
State of Palestine,Palestine,PSE,G.PI.RTIF,0.5755555555555555
Kingdom of Sweden,Sweden,SWE,G.PI.RTIF,0.6733333333333333
Republic of China,Taiwan,TWN,G.PI.RTIF,0.38
Republic of Tajikistan,Tajikistan,TJK,G.PI.RTIF,0.32666666666666666
Kingdom of Thailand,Thailand,THA,G.PI.RTIF,0.5066666666666667
Togolese Republic,Togo,TGO,G.PI.RTIF,0.4666666666666667
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,G.PI.RTIF,0.5933333333333334
Republic of Tunisia,Tunisia,TUN,G.PI.RTIF,0.8
Turkmenistan,Turkmenistan,TKM,G.PI.RTIF,0.4266666666666667
Republic of Uganda,Uganda,UGA,G.PI.RTIF,0.6466666666666666
Ukraine,Ukraine,UKR,G.PI.RTIF,0.72
United Arab Emirates,United Arab Emirates,ARE,G.PI.RTIF,0.5755555555555555
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,G.PI.RTIF,0.66
United States of America,United States,USA,G.PI.RTIF,0.5533333333333333
Oriental Republic of Uruguay,Uruguay,URY,G.PI.RTIF,0.6133333333333333
Republic of Uzbekistan,Uzbekistan,UZB,G.PI.RTIF,0.3933333333333333
Socialist Republic of Vietnam,Vietnam,VNM,G.PI.RTIF,0.5066666666666667
