official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.DATAINST,0.75
Republic of Angola,Angola,AGO,C.CAPABILITIES.DATAINST,0.5
Argentine Republic,Argentina,ARG,C.CAPABILITIES.DATAINST,1.0
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.DATAINST,0.5
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.DATAINST,1.0
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.DATAINST,0.5
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.DATAINST,0.5
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.DATAINST,0.5
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.DATAINST,0.5
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.DATAINST,0.5
Belize,Belize,BLZ,C.CAPABILITIES.DATAINST,0.0
Republic of Benin,Benin,BEN,C.CAPABILITIES.DATAINST,0.5
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.DATAINST,0.0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.DATAINST,0.5
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.DATAINST,0.25
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.DATAINST,1.0
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.DATAINST,0.5
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.DATAINST,0.5
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.DATAINST,0.0
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.DATAINST,0.0
Canada,Canada,CAN,C.CAPABILITIES.DATAINST,1.0
Republic of Chile,Chile,CHL,C.CAPABILITIES.DATAINST,0.75
People's Republic of China,China,CHN,C.CAPABILITIES.DATAINST,1.0
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.DATAINST,1.0
Republic of Colombia,Colombia,COL,C.CAPABILITIES.DATAINST,0.75
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.DATAINST,0.5
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.DATAINST,1.0
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.DATAINST,1.0
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.DATAINST,0.5
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.DATAINST,1.0
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.DATAINST,0.0
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.DATAINST,0.0
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.DATAINST,0.5
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.DATAINST,0.0
Republic of Estonia,Estonia,EST,C.CAPABILITIES.DATAINST,1.0
Republic of Finland,Finland,FIN,C.CAPABILITIES.DATAINST,1.0
French Republic,France,FRA,C.CAPABILITIES.DATAINST,1.0
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.DATAINST,0.0
Georgia,Georgia,GEO,C.CAPABILITIES.DATAINST,0.5
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.DATAINST,1.0
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.DATAINST,0.75
Hellenic Republic,Greece,GRC,C.CAPABILITIES.DATAINST,1.0
