official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,U.USE.INTERNATIONAL,1.0
Republic of Angola,Angola,AGO,U.USE.INTERNATIONAL,0.8
Argentine Republic,Argentina,ARG,U.USE.INTERNATIONAL,0.7
Republic of Armenia,Armenia,ARM,U.USE.INTERNATIONAL,1.0
Commonwealth of Australia,Australia,AUS,U.USE.INTERNATIONAL,1.0
Republic of Azerbaijan,Azerbaijan,AZE,U.USE.INTERNATIONAL,0.8
Commonwealth of the Bahamas,Bahamas,BHS,U.USE.INTERNATIONAL,1.0
Kingdom of Bahrain,Bahrain,BHR,U.USE.INTERNATIONAL,0.9
People's Republic of Bangladesh,Bangladesh,BGD,U.USE.INTERNATIONAL,0.9
Republic of Belarus,Belarus,BLR,U.USE.INTERNATIONAL,1.0
Belize,Belize,BLZ,U.USE.INTERNATIONAL,0.8
Republic of Benin,Benin,BEN,U.USE.INTERNATIONAL,0.7
Plurinational State of Bolivia,Bolivia,BOL,U.USE.INTERNATIONAL,1.0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,U.USE.INTERNATIONAL,0.8
Republic of Botswana,Botswana,BWA,U.USE.INTERNATIONAL,0.6
Federative Republic of Brazil,Brazil,BRA,U.USE.INTERNATIONAL,0.9
Republic of Bulgaria,Bulgaria,BGR,U.USE.INTERNATIONAL,1.0
Burkina Faso,Burkina Faso,BFA,U.USE.INTERNATIONAL,0.8
Kingdom of Cambodia,Cambodia,KHM,U.USE.INTERNATIONAL,0.7
Republic of Cameroon,Cameroon,CMR,U.USE.INTERNATIONAL,0.8
Canada,Canada,CAN,U.USE.INTERNATIONAL,1.0
Republic of Chile,Chile,CHL,U.USE.INTERNATIONAL,1.0
People's Republic of China,China,CHN,U.USE.INTERNATIONAL,0.8340000000000001
Hong Kong SAR,Hong Kong,HKG,U.USE.INTERNATIONAL,0.8
Republic of Colombia,Colombia,COL,U.USE.INTERNATIONAL,1.0
Republic of Costa Rica,Costa Rica,CRI,U.USE.INTERNATIONAL,1.0
Republic of Croatia,Croatia,HRV,U.USE.INTERNATIONAL,0.8
Czech Republic,Czech Republic,CZE,U.USE.INTERNATIONAL,0.9
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,U.USE.INTERNATIONAL,0.9
Kingdom of Denmark,Denmark,DNK,U.USE.INTERNATIONAL,0.9
Dominican Republic,Dominican Republic,DOM,U.USE.INTERNATIONAL,1.0
Republic of Ecuador,Ecuador,ECU,U.USE.INTERNATIONAL,1.0
Arab Republic of Egypt,Egypt,EGY,U.USE.INTERNATIONAL,1.0
Republic of El Salvador,El Salvador,SLV,U.USE.INTERNATIONAL,0.9
Republic of Estonia,Estonia,EST,U.USE.INTERNATIONAL,1.0
Republic of Finland,Finland,FIN,U.USE.INTERNATIONAL,1.0
French Republic,France,FRA,U.USE.INTERNATIONAL,1.0
Republic of the Gambia,Gambia,GMB,U.USE.INTERNATIONAL,0.6
Georgia,Georgia,GEO,U.USE.INTERNATIONAL,1.0
Federal Republic of Germany,Germany,DEU,U.USE.INTERNATIONAL,1.0
Republic of Ghana,Ghana,GHA,U.USE.INTERNATIONAL,1.0
Hellenic Republic,Greece,GRC,U.USE.INTERNATIONAL,1.0
Republic of Guatemala,Guatemala,GTM,U.USE.INTERNATIONAL,0.8
Co-operative Republic of Guyana,Guyana,GUY,U.USE.INTERNATIONAL,0.6
Republic of Haiti,Haiti,HTI,U.USE.INTERNATIONAL,0.8
Republic of Honduras,Honduras,HND,U.USE.INTERNATIONAL,0.9
Republic of India,India,IND,U.USE.INTERNATIONAL,0.8
Republic of Indonesia,Indonesia,IDN,U.USE.INTERNATIONAL,1.0
Ireland,Ireland,IRL,U.USE.INTERNATIONAL,1.0
State of Israel,Israel,ISR,U.USE.INTERNATIONAL,1.0
Italian Republic,Italy,ITA,U.USE.INTERNATIONAL,1.0
Jamaica,Jamaica,JAM,U.USE.INTERNATIONAL,0.6
Hashemite Kingdom of Jordan,Jordan,JOR,U.USE.INTERNATIONAL,0.8
Republic of Kazakhstan,Kazakhstan,KAZ,U.USE.INTERNATIONAL,1.0
Republic of Kenya,Kenya,KEN,U.USE.INTERNATIONAL,0.7
Republic of Kosovo,Kosovo,XKX,U.USE.INTERNATIONAL,0.4
Kyrgyz Republic,Kyrgyz Republic,KGZ,U.USE.INTERNATIONAL,1.0
Republic of Latvia,Latvia,LVA,U.USE.INTERNATIONAL,1.0
Republic of Liberia,Liberia,LBR,U.USE.INTERNATIONAL,0.9
Republic of Lithuania,Lithuania,LTU,U.USE.INTERNATIONAL,1.0
Republic of Malawi,Malawi,MWI,U.USE.INTERNATIONAL,0.9
Malaysia,Malaysia,MYS,U.USE.INTERNATIONAL,0.8
Republic of Malta,Malta,MLT,U.USE.INTERNATIONAL,1.0
United Mexican States,Mexico,MEX,U.USE.INTERNATIONAL,1.0
Mongolia,Mongolia,MNG,U.USE.INTERNATIONAL,1.0
Montenegro,Montenegro,MNE,U.USE.INTERNATIONAL,0.9
Kingdom of Morocco,Morocco,MAR,U.USE.INTERNATIONAL,0.6
Republic of Mozambique,Mozambique,MOZ,U.USE.INTERNATIONAL,0.8
