official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.DIGGOV,0.7333333333333333
Republic of Angola,Angola,AGO,C.CAPABILITIES.DIGGOV,0.2333333333333333
Argentine Republic,Argentina,ARG,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.DIGGOV,0.36666666666666664
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.DIGGOV,0.6
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.DIGGOV,0.16666666666666666
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.DIGGOV,0.5333333333333333
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.DIGGOV,0.7333333333333333
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.DIGGOV,0.6
Belize,Belize,BLZ,C.CAPABILITIES.DIGGOV,0.2
Republic of Benin,Benin,BEN,C.CAPABILITIES.DIGGOV,0.4
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.DIGGOV,0.4333333333333333
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.DIGGOV,0.13333333333333333
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.DIGGOV,0.2
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.DIGGOV,1.0
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.DIGGOV,0.5
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.DIGGOV,0.4
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.DIGGOV,0.6
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.DIGGOV,0.2
Canada,Canada,CAN,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Chile,Chile,CHL,C.CAPABILITIES.DIGGOV,0.8333333333333333
People's Republic of China,China,CHN,C.CAPABILITIES.DIGGOV,0.8666666666666668
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.DIGGOV,0.7666666666666666
Republic of Colombia,Colombia,COL,C.CAPABILITIES.DIGGOV,0.8333333333333333
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.DIGGOV,0.3
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.DIGGOV,0.7333333333333333
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.DIGGOV,0.06666666666666667
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.DIGGOV,0.9333333333333332
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.DIGGOV,0.6
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.DIGGOV,0.6333333333333333
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.DIGGOV,0.7666666666666666
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.DIGGOV,0.6
Republic of Estonia,Estonia,EST,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Finland,Finland,FIN,C.CAPABILITIES.DIGGOV,1.0
French Republic,France,FRA,C.CAPABILITIES.DIGGOV,1.0
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.DIGGOV,0.2
Georgia,Georgia,GEO,C.CAPABILITIES.DIGGOV,0.4333333333333333
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.DIGGOV,0.4666666666666666
Hellenic Republic,Greece,GRC,C.CAPABILITIES.DIGGOV,0.5666666666666667
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.DIGGOV,0.13333333333333333
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.DIGGOV,0.2
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.DIGGOV,0.2
Republic of Honduras,Honduras,HND,C.CAPABILITIES.DIGGOV,0.3333333333333333
Republic of India,India,IND,C.CAPABILITIES.DIGGOV,0.8333333333333333
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.DIGGOV,0.4
Ireland,Ireland,IRL,C.CAPABILITIES.DIGGOV,0.6666666666666667
State of Israel,Israel,ISR,C.CAPABILITIES.DIGGOV,0.7666666666666667
Italian Republic,Italy,ITA,C.CAPABILITIES.DIGGOV,0.8333333333333333
Jamaica,Jamaica,JAM,C.CAPABILITIES.DIGGOV,0.4333333333333333
Hashemite Kingdom of Jordan,Jordan,JOR,C.CAPABILITIES.DIGGOV,0.26666666666666666
Republic of Kazakhstan,Kazakhstan,KAZ,C.CAPABILITIES.DIGGOV,0.6666666666666667
Republic of Kenya,Kenya,KEN,C.CAPABILITIES.DIGGOV,0.5333333333333333
Republic of Kosovo,Kosovo,XKX,C.CAPABILITIES.DIGGOV,0.3333333333333333
Kyrgyz Republic,Kyrgyz Republic,KGZ,C.CAPABILITIES.DIGGOV,0.5666666666666667
Republic of Latvia,Latvia,LVA,C.CAPABILITIES.DIGGOV,0.6666666666666666
Republic of Liberia,Liberia,LBR,C.CAPABILITIES.DIGGOV,0.0
Republic of Lithuania,Lithuania,LTU,C.CAPABILITIES.DIGGOV,0.8
Republic of Malawi,Malawi,MWI,C.CAPABILITIES.DIGGOV,0.26666666666666666
Malaysia,Malaysia,MYS,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Malta,Malta,MLT,C.CAPABILITIES.DIGGOV,0.9333333333333332
United Mexican States,Mexico,MEX,C.CAPABILITIES.DIGGOV,0.8333333333333333
Mongolia,Mongolia,MNG,C.CAPABILITIES.DIGGOV,0.39999999999999997
Montenegro,Montenegro,MNE,C.CAPABILITIES.DIGGOV,0.26666666666666666
Kingdom of Morocco,Morocco,MAR,C.CAPABILITIES.DIGGOV,0.6666666666666666
Republic of Mozambique,Mozambique,MOZ,C.CAPABILITIES.DIGGOV,0.26666666666666666
Republic of Namibia,Namibia,NAM,C.CAPABILITIES.DIGGOV,0.13333333333333333
Federal Democratic Republic of Nepal,Nepal,NPL,C.CAPABILITIES.DIGGOV,0.7333333333333333
Kingdom of the Netherlands,Netherlands,NLD,C.CAPABILITIES.DIGGOV,0.9333333333333332
New Caledonia,New Caledonia,NCL,C.CAPABILITIES.DIGGOV,0.18333333333333335
New Zealand,New Zealand,NZL,C.CAPABILITIES.DIGGOV,0.8333333333333333
Federal Republic of Nigeria,Nigeria,NGA,C.CAPABILITIES.DIGGOV,0.5666666666666667
Sultanate of Oman,Oman,OMN,C.CAPABILITIES.DIGGOV,0.4666666666666666
Republic of Panama,Panama,PAN,C.CAPABILITIES.DIGGOV,0.3666666666666666
Republic of Paraguay,Paraguay,PRY,C.CAPABILITIES.DIGGOV,0.6333333333333333
Republic of Peru,Peru,PER,C.CAPABILITIES.DIGGOV,0.5666666666666667
Republic of the Philippines,Philippines,PHL,C.CAPABILITIES.DIGGOV,0.5666666666666667
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.DIGGOV,0.8333333333333333
State of Qatar,Qatar,QAT,C.CAPABILITIES.DIGGOV,0.8333333333333333
Republic of Korea,South Korea,KOR,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.DIGGOV,0.6666666666666666
Romania,Romania,ROU,C.CAPABILITIES.DIGGOV,0.4666666666666666
Russian Federation,Russia,RUS,C.CAPABILITIES.DIGGOV,0.7666666666666666
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.DIGGOV,0.5666666666666667
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.DIGGOV,0.06666666666666667
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.DIGGOV,0.9333333333333332
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.DIGGOV,0.2
Republic of Serbia,Serbia,SRB,C.CAPABILITIES.DIGGOV,0.6333333333333333
Republic of Seychelles,Seychelles,SYC,C.CAPABILITIES.DIGGOV,0.13333333333333333
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.DIGGOV,0.5
Republic of South Africa,South Africa,ZAF,C.CAPABILITIES.DIGGOV,0.8666666666666668
Kingdom of Spain,Spain,ESP,C.CAPABILITIES.DIGGOV,0.9333333333333332
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,C.CAPABILITIES.DIGGOV,0.7666666666666667
State of Palestine,Palestine,PSE,C.CAPABILITIES.DIGGOV,0.26666666666666666
Kingdom of Sweden,Sweden,SWE,C.CAPABILITIES.DIGGOV,0.8333333333333333
Republic of China,Taiwan,TWN,C.CAPABILITIES.DIGGOV,0.8
Republic of Tajikistan,Tajikistan,TJK,C.CAPABILITIES.DIGGOV,0.2
Kingdom of Thailand,Thailand,THA,C.CAPABILITIES.DIGGOV,0.9333333333333332
Togolese Republic,Togo,TGO,C.CAPABILITIES.DIGGOV,0.2
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,C.CAPABILITIES.DIGGOV,0.36666666666666664
Republic of Tunisia,Tunisia,TUN,C.CAPABILITIES.DIGGOV,0.5333333333333333
Turkmenistan,Turkmenistan,TKM,C.CAPABILITIES.DIGGOV,0.06666666666666667
Republic of Uganda,Uganda,UGA,C.CAPABILITIES.DIGGOV,0.6
Ukraine,Ukraine,UKR,C.CAPABILITIES.DIGGOV,0.5666666666666667
United Arab Emirates,United Arab Emirates,ARE,C.CAPABILITIES.DIGGOV,0.8333333333333333
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,C.CAPABILITIES.DIGGOV,0.9333333333333332
United States of America,United States,USA,C.CAPABILITIES.DIGGOV,0.8666666666666666
Oriental Republic of Uruguay,Uruguay,URY,C.CAPABILITIES.DIGGOV,0.7333333333333333
Republic of Uzbekistan,Uzbekistan,UZB,C.CAPABILITIES.DIGGOV,0.5
Socialist Republic of Vietnam,Vietnam,VNM,C.CAPABILITIES.DIGGOV,0.6
