official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.DIGSKILLS,0.49896379316666667
Republic of Angola,Angola,AGO,C.CAPABILITIES.DIGSKILLS,0.240934968
Argentine Republic,Argentina,ARG,C.CAPABILITIES.DIGSKILLS,0.5015583038333333
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.DIGSKILLS,0.5897378921666667
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.DIGSKILLS,0.6699171066666666
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.DIGSKILLS,0.6824222405
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.DIGSKILLS,0.4361916021969697
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.DIGSKILLS,0.6566313108333333
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.DIGSKILLS,0.4248966376666667
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.DIGSKILLS,0.5853396080555555
Belize,Belize,BLZ,C.CAPABILITIES.DIGSKILLS,0.4361916021969697
Republic of Benin,Benin,BEN,C.CAPABILITIES.DIGSKILLS,0.4470834335
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.DIGSKILLS,0.3701984485
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.DIGSKILLS,0.44973675416666664
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.DIGSKILLS,0.44893459483333337
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.DIGSKILLS,0.34785338250000003
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.DIGSKILLS,0.6090997855000001
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.DIGSKILLS,0.3152064085
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.DIGSKILLS,0.42786335950000004
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.DIGSKILLS,0.48299141716666666
Canada,Canada,CAN,C.CAPABILITIES.DIGSKILLS,0.678836902
Republic of Chile,Chile,CHL,C.CAPABILITIES.DIGSKILLS,0.5440822441666667
People's Republic of China,China,CHN,C.CAPABILITIES.DIGSKILLS,0.6098484993333333
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.DIGSKILLS,0.7073395251666666
Republic of Colombia,Colombia,COL,C.CAPABILITIES.DIGSKILLS,0.46613351500000005
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.DIGSKILLS,0.6479270458333333
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.DIGSKILLS,0.452630202
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.DIGSKILLS,0.6296067238333333
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.DIGSKILLS,0.46426407499999994
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.DIGSKILLS,0.7359135151666666
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.DIGSKILLS,0.43063366416666665
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.DIGSKILLS,0.46021600566666665
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.DIGSKILLS,0.6102326711666667
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.DIGSKILLS,0.35954062150000005
Republic of Estonia,Estonia,EST,C.CAPABILITIES.DIGSKILLS,0.7375193436666666
Republic of Finland,Finland,FIN,C.CAPABILITIES.DIGSKILLS,0.8052642345000001
French Republic,France,FRA,C.CAPABILITIES.DIGSKILLS,0.5819454988333334
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.DIGSKILLS,0.5056187311666666
Georgia,Georgia,GEO,C.CAPABILITIES.DIGSKILLS,0.44274886450000006
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.DIGSKILLS,0.6776371796666667
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.DIGSKILLS,0.5351614156666668
Hellenic Republic,Greece,GRC,C.CAPABILITIES.DIGSKILLS,0.5182716051666666
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.DIGSKILLS,0.3909465075
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.DIGSKILLS,0.4361916021969697
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.DIGSKILLS,0.2855685155
Republic of Honduras,Honduras,HND,C.CAPABILITIES.DIGSKILLS,0.4386972983333333
Republic of India,India,IND,C.CAPABILITIES.DIGSKILLS,0.572073857
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.DIGSKILLS,0.5845081806666667
Ireland,Ireland,IRL,C.CAPABILITIES.DIGSKILLS,0.664851586
