official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.ONLINESERV,0.8412
Republic of Angola,Angola,AGO,C.CAPABILITIES.ONLINESERV,0.4882
Argentine Republic,Argentina,ARG,C.CAPABILITIES.ONLINESERV,0.8471
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.ONLINESERV,0.7
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.ONLINESERV,0.9471
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.ONLINESERV,0.7059
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.ONLINESERV,0.6765
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.ONLINESERV,0.7882
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.ONLINESERV,0.6118
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.ONLINESERV,0.7059
Belize,Belize,BLZ,C.CAPABILITIES.ONLINESERV,0.2647
Republic of Benin,Benin,BEN,C.CAPABILITIES.ONLINESERV,0.5118
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.ONLINESERV,0.5824
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.ONLINESERV,0.5353
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.ONLINESERV,0.3647
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.ONLINESERV,0.8706
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.ONLINESERV,0.7706
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.ONLINESERV,0.4647
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.ONLINESERV,0.4529
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.ONLINESERV,0.4706
Canada,Canada,CAN,C.CAPABILITIES.ONLINESERV,0.8412
Republic of Chile,Chile,CHL,C.CAPABILITIES.ONLINESERV,0.8529
People's Republic of China,China,CHN,C.CAPABILITIES.ONLINESERV,0.9059
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.ONLINESERV,0.67176
Republic of Colombia,Colombia,COL,C.CAPABILITIES.ONLINESERV,0.7647
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.ONLINESERV,0.6824
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.ONLINESERV,0.7529
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.ONLINESERV,0.7235
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.ONLINESERV,0.4529
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.ONLINESERV,0.9706
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.ONLINESERV,0.7647
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.ONLINESERV,0.8118
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.ONLINESERV,0.5706
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.ONLINESERV,0.5765
Republic of Estonia,Estonia,EST,C.CAPABILITIES.ONLINESERV,0.9941
Republic of Finland,Finland,FIN,C.CAPABILITIES.ONLINESERV,0.9706
French Republic,France,FRA,C.CAPABILITIES.ONLINESERV,0.8824
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.ONLINESERV,0.0294
Georgia,Georgia,GEO,C.CAPABILITIES.ONLINESERV,0.5882
