official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,A.HEALTH.HSC,0.52
Republic of Angola,Angola,AGO,A.HEALTH.HSC,0.39
Argentine Republic,Argentina,ARG,A.HEALTH.HSC,0.52
Republic of Armenia,Armenia,ARM,A.HEALTH.HSC,0.27999999999999997
Commonwealth of Australia,Australia,AUS,A.HEALTH.HSC,0.6
Republic of Azerbaijan,Azerbaijan,AZE,A.HEALTH.HSC,0.5
Commonwealth of the Bahamas,Bahamas,BHS,A.HEALTH.HSC,0.5
Kingdom of Bahrain,Bahrain,BHR,A.HEALTH.HSC,0.74
People's Republic of Bangladesh,Bangladesh,BGD,A.HEALTH.HSC,0.27999999999999997
Republic of Belarus,Belarus,BLR,A.HEALTH.HSC,0.6799999999999999
Belize,Belize,BLZ,A.HEALTH.HSC,0.32999999999999996
Republic of Benin,Benin,BEN,A.HEALTH.HSC,0.5599999999999999
Plurinational State of Bolivia,Bolivia,BOL,A.HEALTH.HSC,0.5700000000000001
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,A.HEALTH.HSC,0.33999999999999997
Republic of Botswana,Botswana,BWA,A.HEALTH.HSC,0.45999999999999996
Federative Republic of Brazil,Brazil,BRA,A.HEALTH.HSC,0.61
Republic of Bulgaria,Bulgaria,BGR,A.HEALTH.HSC,0.78
Burkina Faso,Burkina Faso,BFA,A.HEALTH.HSC,0.67
Kingdom of Cambodia,Cambodia,KHM,A.HEALTH.HSC,0.0
Republic of Cameroon,Cameroon,CMR,A.HEALTH.HSC,0.0
Canada,Canada,CAN,A.HEALTH.HSC,0.61
Republic of Chile,Chile,CHL,A.HEALTH.HSC,0.33999999999999997
People's Republic of China,China,CHN,A.HEALTH.HSC,0.49000000000000005
Hong Kong SAR,Hong Kong,HKG,A.HEALTH.HSC,0.62
Republic of Colombia,Colombia,COL,A.HEALTH.HSC,0.4
Republic of Costa Rica,Costa Rica,CRI,A.HEALTH.HSC,0.45999999999999996
Republic of Croatia,Croatia,HRV,A.HEALTH.HSC,0.5599999999999999
Czech Republic,Czech Republic,CZE,A.HEALTH.HSC,0.5700000000000001
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,A.HEALTH.HSC,0.0
Kingdom of Denmark,Denmark,DNK,A.HEALTH.HSC,0.9
Dominican Republic,Dominican Republic,DOM,A.HEALTH.HSC,0.5700000000000001
Republic of Ecuador,Ecuador,ECU,A.HEALTH.HSC,0.52
Arab Republic of Egypt,Egypt,EGY,A.HEALTH.HSC,0.43
Republic of El Salvador,El Salvador,SLV,A.HEALTH.HSC,0.27999999999999997
Republic of Estonia,Estonia,EST,A.HEALTH.HSC,0.63
Republic of Finland,Finland,FIN,A.HEALTH.HSC,0.6799999999999999
French Republic,France,FRA,A.HEALTH.HSC,0.62
Republic of the Gambia,Gambia,GMB,A.HEALTH.HSC,0.39
Georgia,Georgia,GEO,A.HEALTH.HSC,0.5599999999999999
Federal Republic of Germany,Germany,DEU,A.HEALTH.HSC,0.8300000000000001
Republic of Ghana,Ghana,GHA,A.HEALTH.HSC,0.32999999999999996
Hellenic Republic,Greece,GRC,A.HEALTH.HSC,0.63
Republic of Guatemala,Guatemala,GTM,A.HEALTH.HSC,0.0
Co-operative Republic of Guyana,Guyana,GUY,A.HEALTH.HSC,0.4
Republic of Haiti,Haiti,HTI,A.HEALTH.HSC,0.0
Republic of Honduras,Honduras,HND,A.HEALTH.HSC,0.39
Republic of India,India,IND,A.HEALTH.HSC,0.5700000000000001
Republic of Indonesia,Indonesia,IDN,A.HEALTH.HSC,0.63
Ireland,Ireland,IRL,A.HEALTH.HSC,0.58
State of Israel,Israel,ISR,A.HEALTH.HSC,0.62
Italian Republic,Italy,ITA,A.HEALTH.HSC,0.75
Jamaica,Jamaica,JAM,A.HEALTH.HSC,0.5700000000000001
Hashemite Kingdom of Jordan,Jordan,JOR,A.HEALTH.HSC,0.48
Republic of Kazakhstan,Kazakhstan,KAZ,A.HEALTH.HSC,0.45999999999999996
Republic of Kenya,Kenya,KEN,A.HEALTH.HSC,0.49000000000000005
Republic of Kosovo,Kosovo,XKX,A.HEALTH.HSC,0.44000000000000006
Kyrgyz Republic,Kyrgyz Republic,KGZ,A.HEALTH.HSC,0.5599999999999999
Republic of Latvia,Latvia,LVA,A.HEALTH.HSC,0.62
Republic of Liberia,Liberia,LBR,A.HEALTH.HSC,0.27999999999999997
Republic of Lithuania,Lithuania,LTU,A.HEALTH.HSC,0.58
Republic of Malawi,Malawi,MWI,A.HEALTH.HSC,0.0
Malaysia,Malaysia,MYS,A.HEALTH.HSC,0.51
Republic of Malta,Malta,MLT,A.HEALTH.HSC,0.0
United Mexican States,Mexico,MEX,A.HEALTH.HSC,0.6900000000000001
Mongolia,Mongolia,MNG,A.HEALTH.HSC,0.8
Montenegro,Montenegro,MNE,A.HEALTH.HSC,0.52
Kingdom of Morocco,Morocco,MAR,A.HEALTH.HSC,0.62
Republic of Mozambique,Mozambique,MOZ,A.HEALTH.HSC,0.32999999999999996
Republic of Namibia,Namibia,NAM,A.HEALTH.HSC,0.39
Federal Democratic Republic of Nepal,Nepal,NPL,A.HEALTH.HSC,0.33999999999999997
Kingdom of the Netherlands,Netherlands,NLD,A.HEALTH.HSC,0.74
New Caledonia,New Caledonia,NCL,A.HEALTH.HSC,0.0
New Zealand,New Zealand,NZL,A.HEALTH.HSC,0.0
Federal Republic of Nigeria,Nigeria,NGA,A.HEALTH.HSC,0.0
Sultanate of Oman,Oman,OMN,A.HEALTH.HSC,0.8400000000000001
Republic of Panama,Panama,PAN,A.HEALTH.HSC,0.5599999999999999
Republic of Paraguay,Paraguay,PRY,A.HEALTH.HSC,0.32999999999999996
Republic of Peru,Peru,PER,A.HEALTH.HSC,0.45999999999999996
Republic of the Philippines,Philippines,PHL,A.HEALTH.HSC,0.63
Portuguese Republic,Portugal,PRT,A.HEALTH.HSC,0.78
State of Qatar,Qatar,QAT,A.HEALTH.HSC,0.4
Republic of Korea,South Korea,KOR,A.HEALTH.HSC,0.79
Republic of Moldova,Moldova,MDA,A.HEALTH.HSC,0.7
Romania,Romania,ROU,A.HEALTH.HSC,0.6900000000000001
Russian Federation,Russia,RUS,A.HEALTH.HSC,0.6900000000000001
Republic of Rwanda,Rwanda,RWA,A.HEALTH.HSC,0.62
Saint Lucia,St. Lucia,LCA,A.HEALTH.HSC,0.58
Kingdom of Saudi Arabia,Saudi Arabia,SAU,A.HEALTH.HSC,0.27
Republic of Senegal,Senegal,SEN,A.HEALTH.HSC,0.45
Republic of Serbia,Serbia,SRB,A.HEALTH.HSC,0.58
Republic of Seychelles,Seychelles,SYC,A.HEALTH.HSC,0.27999999999999997
Republic of Sierra Leone,Sierra Leone,SLE,A.HEALTH.HSC,0.0
Republic of South Africa,South Africa,ZAF,A.HEALTH.HSC,0.0
Kingdom of Spain,Spain,ESP,A.HEALTH.HSC,0.51
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,A.HEALTH.HSC,0.67
State of Palestine,Palestine,PSE,A.HEALTH.HSC,0.5700000000000001
Kingdom of Sweden,Sweden,SWE,A.HEALTH.HSC,0.5700000000000001
Republic of China,Taiwan,TWN,A.HEALTH.HSC,0.67
Republic of Tajikistan,Tajikistan,TJK,A.HEALTH.HSC,0.32999999999999996
Kingdom of Thailand,Thailand,THA,A.HEALTH.HSC,0.27999999999999997
Togolese Republic,Togo,TGO,A.HEALTH.HSC,0.0
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,A.HEALTH.HSC,0.0
Republic of Tunisia,Tunisia,TUN,A.HEALTH.HSC,0.5700000000000001
Turkmenistan,Turkmenistan,TKM,A.HEALTH.HSC,0.0
Republic of Uganda,Uganda,UGA,A.HEALTH.HSC,0.27999999999999997
Ukraine,Ukraine,UKR,A.HEALTH.HSC,0.5700000000000001
United Arab Emirates,United Arab Emirates,ARE,A.HEALTH.HSC,0.73
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,A.HEALTH.HSC,0.58
United States of America,United States,USA,A.HEALTH.HSC,0.52
Oriental Republic of Uruguay,Uruguay,URY,A.HEALTH.HSC,0.45999999999999996
Republic of Uzbekistan,Uzbekistan,UZB,A.HEALTH.HSC,0.63
Socialist Republic of Vietnam,Vietnam,VNM,A.HEALTH.HSC,0.5700000000000001
