official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.INTACCESS,0.8271037535760346
Republic of Angola,Angola,AGO,C.CAPABILITIES.INTACCESS,0.41492419092775656
Argentine Republic,Argentina,ARG,C.CAPABILITIES.INTACCESS,0.7496391166143759
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.INTACCESS,0.787947383343787
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.INTACCESS,0.9172080520236141
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.INTACCESS,0.8768875141218758
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.INTACCESS,0.907341831997057
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.INTACCESS,0.9728921666334462
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.INTACCESS,0.5180573504982043
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.INTACCESS,0.9036166060143682
Belize,Belize,BLZ,C.CAPABILITIES.INTACCESS,0.5653815075547508
Republic of Benin,Benin,BEN,C.CAPABILITIES.INTACCESS,0.1051795338737877
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.INTACCESS,0.5839564893603967
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.INTACCESS,0.8138099646964325
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.INTACCESS,0.6294369493617087
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.INTACCESS,0.8115273083362367
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.INTACCESS,0.8131741906502206
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.INTACCESS,0.07402640196941371
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.INTACCESS,0.48289405930386886
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.INTACCESS,0.23687754209748285
Canada,Canada,CAN,C.CAPABILITIES.INTACCESS,0.9501409842324844
Republic of Chile,Chile,CHL,C.CAPABILITIES.INTACCESS,0.8719648041823427
People's Republic of China,China,CHN,C.CAPABILITIES.INTACCESS,0.76617020456987
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.INTACCESS,0.9549804114808707
Republic of Colombia,Colombia,COL,C.CAPABILITIES.INTACCESS,0.7537255028241651
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.INTACCESS,0.8801687059370142
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.INTACCESS,0.8904447633270884
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.INTACCESS,0.8931159115896102
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.INTACCESS,0.363191851199851
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.INTACCESS,0.9827977308879255
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.INTACCESS,0.8268758149850928
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.INTACCESS,0.689686277266659
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.INTACCESS,0.7316915576230476
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.INTACCESS,0.5175869810062032
Republic of Estonia,Estonia,EST,C.CAPABILITIES.INTACCESS,0.937516964813999
Republic of Finland,Finland,FIN,C.CAPABILITIES.INTACCESS,0.938264705576707
French Republic,France,FRA,C.CAPABILITIES.INTACCESS,0.9011028700053247
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.INTACCESS,0.09415112493964459
Georgia,Georgia,GEO,C.CAPABILITIES.INTACCESS,0.7983312768615569
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.INTACCESS,0.9293147678175937
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.INTACCESS,0.457461995643608
Hellenic Republic,Greece,GRC,C.CAPABILITIES.INTACCESS,0.8575547671759505
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.INTACCESS,0.5686789223705753
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.INTACCESS,0.5593929242710092
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.INTACCESS,0.15836923190067426
Republic of Honduras,Honduras,HND,C.CAPABILITIES.INTACCESS,0.40535842395298116
Republic of India,India,IND,C.CAPABILITIES.INTACCESS,0.5435607794068428
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.INTACCESS,0.5417297773583937
Ireland,Ireland,IRL,C.CAPABILITIES.INTACCESS,0.9023500679218337
State of Israel,Israel,ISR,C.CAPABILITIES.INTACCESS,0.9266842775155149
Italian Republic,Italy,ITA,C.CAPABILITIES.INTACCESS,0.8519455704586771
Jamaica,Jamaica,JAM,C.CAPABILITIES.INTACCESS,0.6752161878758086
Hashemite Kingdom of Jordan,Jordan,JOR,C.CAPABILITIES.INTACCESS,0.6177247054615815
Republic of Kazakhstan,Kazakhstan,KAZ,C.CAPABILITIES.INTACCESS,0.9000834831576373
