official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.EMPLOY,0.259
Republic of Angola,Angola,AGO,C.CAPABILITIES.EMPLOY,0.1368846153846154
Argentine Republic,Argentina,ARG,C.CAPABILITIES.EMPLOY,0.381
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.EMPLOY,0.479
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.EMPLOY,0.7859999999999999
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.EMPLOY,0.366
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.EMPLOY,0.2890555555555555
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.EMPLOY,0.341
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.EMPLOY,0.091
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.EMPLOY,0.677
Belize,Belize,BLZ,C.CAPABILITIES.EMPLOY,0.2890555555555555
Republic of Benin,Benin,BEN,C.CAPABILITIES.EMPLOY,0.0
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.EMPLOY,0.203
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.EMPLOY,0.33899999999999997
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.EMPLOY,0.268
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.EMPLOY,0.37
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.EMPLOY,0.52
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.EMPLOY,0.0
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.EMPLOY,0.035
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.EMPLOY,0.138
Canada,Canada,CAN,C.CAPABILITIES.EMPLOY,0.743
Republic of Chile,Chile,CHL,C.CAPABILITIES.EMPLOY,0.423
People's Republic of China,China,CHN,C.CAPABILITIES.EMPLOY,0.0
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.EMPLOY,0.6559999999999999
Republic of Colombia,Colombia,COL,C.CAPABILITIES.EMPLOY,0.0
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.EMPLOY,0.442
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.EMPLOY,0.62
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.EMPLOY,0.638
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.EMPLOY,0.127
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.EMPLOY,0.804
