official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.STANDARDS,0.75
Republic of Angola,Angola,AGO,C.CAPABILITIES.STANDARDS,0.4
Argentine Republic,Argentina,ARG,C.CAPABILITIES.STANDARDS,0.35
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.STANDARDS,0.85
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.STANDARDS,1.0
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.STANDARDS,0.8
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.STANDARDS,0.6
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.STANDARDS,0.3
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.STANDARDS,0.25
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.STANDARDS,0.85
Belize,Belize,BLZ,C.CAPABILITIES.STANDARDS,0.3
Republic of Benin,Benin,BEN,C.CAPABILITIES.STANDARDS,0.25
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.STANDARDS,0.2
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,C.CAPABILITIES.STANDARDS,0.6
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.STANDARDS,0.4
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.STANDARDS,0.75
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.STANDARDS,0.9
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.STANDARDS,0.35
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.STANDARDS,0.45
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.STANDARDS,0.35
Canada,Canada,CAN,C.CAPABILITIES.STANDARDS,1.0
Republic of Chile,Chile,CHL,C.CAPABILITIES.STANDARDS,0.95
People's Republic of China,China,CHN,C.CAPABILITIES.STANDARDS,0.65
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.STANDARDS,0.775
Republic of Colombia,Colombia,COL,C.CAPABILITIES.STANDARDS,0.55
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.STANDARDS,0.7
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.STANDARDS,0.9
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.STANDARDS,0.95
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.STANDARDS,0.25
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.STANDARDS,1.0
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.STANDARDS,0.6
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.STANDARDS,0.45
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.STANDARDS,0.6
Republic of El Salvador,El Salvador,SLV,C.CAPABILITIES.STANDARDS,0.6
Republic of Estonia,Estonia,EST,C.CAPABILITIES.STANDARDS,1.0
Republic of Finland,Finland,FIN,C.CAPABILITIES.STANDARDS,1.0
French Republic,France,FRA,C.CAPABILITIES.STANDARDS,1.0
Republic of the Gambia,Gambia,GMB,C.CAPABILITIES.STANDARDS,0.35
Georgia,Georgia,GEO,C.CAPABILITIES.STANDARDS,0.8
Federal Republic of Germany,Germany,DEU,C.CAPABILITIES.STANDARDS,0.95
Republic of Ghana,Ghana,GHA,C.CAPABILITIES.STANDARDS,0.5
Hellenic Republic,Greece,GRC,C.CAPABILITIES.STANDARDS,1.0
Republic of Guatemala,Guatemala,GTM,C.CAPABILITIES.STANDARDS,0.35
Co-operative Republic of Guyana,Guyana,GUY,C.CAPABILITIES.STANDARDS,0.25
Republic of Haiti,Haiti,HTI,C.CAPABILITIES.STANDARDS,0.2
Republic of Honduras,Honduras,HND,C.CAPABILITIES.STANDARDS,0.4
Republic of India,India,IND,C.CAPABILITIES.STANDARDS,0.55
Republic of Indonesia,Indonesia,IDN,C.CAPABILITIES.STANDARDS,0.55
Ireland,Ireland,IRL,C.CAPABILITIES.STANDARDS,1.0
State of Israel,Israel,ISR,C.CAPABILITIES.STANDARDS,1.0
Italian Republic,Italy,ITA,C.CAPABILITIES.STANDARDS,1.0
Jamaica,Jamaica,JAM,C.CAPABILITIES.STANDARDS,0.3
