official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,business_use_of_digital_tools,0.35070696490000003
Republic of Angola,Angola,AGO,business_use_of_digital_tools,0.26480096280000004
Argentine Republic,Argentina,ARG,business_use_of_digital_tools,0.6481296650999999
Republic of Armenia,Armenia,ARM,business_use_of_digital_tools,0.6288625962
Commonwealth of Australia,Australia,AUS,business_use_of_digital_tools,0.8656311581999999
Republic of Azerbaijan,Azerbaijan,AZE,business_use_of_digital_tools,0.7754134209
Commonwealth of the Bahamas,Bahamas,BHS,business_use_of_digital_tools,
Kingdom of Bahrain,Bahrain,BHR,business_use_of_digital_tools,0.7670944334
People's Republic of Bangladesh,Bangladesh,BGD,business_use_of_digital_tools,0.44537244340000004
Republic of Belarus,Belarus,BLR,business_use_of_digital_tools,
Belize,Belize,BLZ,business_use_of_digital_tools,
Republic of Benin,Benin,BEN,business_use_of_digital_tools,0.4699525283
Plurinational State of Bolivia,Bolivia,BOL,business_use_of_digital_tools,0.3322687073
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,business_use_of_digital_tools,0.4272700754
Republic of Botswana,Botswana,BWA,business_use_of_digital_tools,0.3306390311
Federative Republic of Brazil,Brazil,BRA,business_use_of_digital_tools,0.7281874104
Republic of Bulgaria,Bulgaria,BGR,business_use_of_digital_tools,0.7275329315000001
Burkina Faso,Burkina Faso,BFA,business_use_of_digital_tools,0.1388642251
Kingdom of Cambodia,Cambodia,KHM,business_use_of_digital_tools,0.495301007
Republic of Cameroon,Cameroon,CMR,business_use_of_digital_tools,0.3926596167000001
Canada,Canada,CAN,business_use_of_digital_tools,0.7883776376999999
Republic of Chile,Chile,CHL,business_use_of_digital_tools,0.7893914277999999
People's Republic of China,China,CHN,business_use_of_digital_tools,
Hong Kong SAR,Hong Kong,HKG,business_use_of_digital_tools,0.8160903845999999
Republic of Colombia,Colombia,COL,business_use_of_digital_tools,0.6064431697
Republic of Costa Rica,Costa Rica,CRI,business_use_of_digital_tools,0.7339968082999999
Republic of Croatia,Croatia,HRV,business_use_of_digital_tools,0.5268235179999999
Czech Republic,Czech Republic,CZE,business_use_of_digital_tools,0.8064927812999999
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,business_use_of_digital_tools,0.5772830637999999
Democratic Republic of the Congo,DR Congo,COD,business_use_of_digital_tools,0.1640575345
Kingdom of Denmark,Denmark,DNK,business_use_of_digital_tools,0.8544009509
Dominican Republic,Dominican Republic,DOM,business_use_of_digital_tools,0.6725998273
Republic of Ecuador,Ecuador,ECU,business_use_of_digital_tools,0.5499338867
Arab Republic of Egypt,Egypt,EGY,business_use_of_digital_tools,0.7060391974
Republic of El Salvador,El Salvador,SLV,business_use_of_digital_tools,0.48125992100000003
Republic of Estonia,Estonia,EST,business_use_of_digital_tools,0.9858362158
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,business_use_of_digital_tools,0.1559759586
Republic of Finland,Finland,FIN,business_use_of_digital_tools,0.9098501326
French Republic,France,FRA,business_use_of_digital_tools,0.8181067862000001
Republic of the Gambia,Gambia,GMB,business_use_of_digital_tools,0.4972426187
Georgia,Georgia,GEO,business_use_of_digital_tools,
Federal Republic of Germany,Germany,DEU,business_use_of_digital_tools,0.8765805704
Republic of Ghana,Ghana,GHA,business_use_of_digital_tools,0.48807805200000004
Hellenic Republic,Greece,GRC,business_use_of_digital_tools,0.5617200949
Republic of Guatemala,Guatemala,GTM,business_use_of_digital_tools,0.5072884295000001
Co-operative Republic of Guyana,Guyana,GUY,business_use_of_digital_tools,
Republic of Haiti,Haiti,HTI,business_use_of_digital_tools,
Republic of Honduras,Honduras,HND,business_use_of_digital_tools,
Republic of India,India,IND,business_use_of_digital_tools,0.5847990572
Republic of Indonesia,Indonesia,IDN,business_use_of_digital_tools,0.7586248013
Ireland,Ireland,IRL,business_use_of_digital_tools,0.7268675403
State of Israel,Israel,ISR,business_use_of_digital_tools,0.9649956297
Italian Republic,Italy,ITA,business_use_of_digital_tools,0.6277820008
Jamaica,Jamaica,JAM,business_use_of_digital_tools,0.5786899671
Hashemite Kingdom of Jordan,Jordan,JOR,business_use_of_digital_tools,0.6735508045
Republic of Kazakhstan,Kazakhstan,KAZ,business_use_of_digital_tools,0.5336480368000001
Republic of Kenya,Kenya,KEN,business_use_of_digital_tools,0.7287812054999999
Republic of Kosovo,Kosovo,XKX,business_use_of_digital_tools,
Kyrgyz Republic,Kyrgyz Republic,KGZ,business_use_of_digital_tools,0.3203134898
Republic of Latvia,Latvia,LVA,business_use_of_digital_tools,0.8480637647
Republic of Liberia,Liberia,LBR,business_use_of_digital_tools,
Republic of Lithuania,Lithuania,LTU,business_use_of_digital_tools,0.8891168076
Republic of Malawi,Malawi,MWI,business_use_of_digital_tools,0.1813614331
Malaysia,Malaysia,MYS,business_use_of_digital_tools,0.8230245598999999
Republic of Malta,Malta,MLT,business_use_of_digital_tools,0.7143914545000001
United Mexican States,Mexico,MEX,business_use_of_digital_tools,0.6087605944
