official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,data_institutions,0.75
Republic of Angola,Angola,AGO,data_institutions,0.5
Argentine Republic,Argentina,ARG,data_institutions,1.0
Republic of Armenia,Armenia,ARM,data_institutions,0.5
Commonwealth of Australia,Australia,AUS,data_institutions,1.0
Republic of Azerbaijan,Azerbaijan,AZE,data_institutions,0.5
Commonwealth of the Bahamas,Bahamas,BHS,data_institutions,0.5
Kingdom of Bahrain,Bahrain,BHR,data_institutions,0.5
People's Republic of Bangladesh,Bangladesh,BGD,data_institutions,0.5
Republic of Belarus,Belarus,BLR,data_institutions,0.5
Belize,Belize,BLZ,data_institutions,0.0
Republic of Benin,Benin,BEN,data_institutions,0.5
Plurinational State of Bolivia,Bolivia,BOL,data_institutions,0.0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,data_institutions,0.5
Republic of Botswana,Botswana,BWA,data_institutions,0.25
Federative Republic of Brazil,Brazil,BRA,data_institutions,1.0
Republic of Bulgaria,Bulgaria,BGR,data_institutions,0.5
Burkina Faso,Burkina Faso,BFA,data_institutions,0.5
Kingdom of Cambodia,Cambodia,KHM,data_institutions,0.0
Republic of Cameroon,Cameroon,CMR,data_institutions,0.0
Canada,Canada,CAN,data_institutions,1.0
Republic of Chile,Chile,CHL,data_institutions,0.75
People's Republic of China,China,CHN,data_institutions,1.0
Hong Kong SAR,Hong Kong,HKG,data_institutions,1.0
Republic of Colombia,Colombia,COL,data_institutions,0.75
Republic of Costa Rica,Costa Rica,CRI,data_institutions,0.5
Republic of Croatia,Croatia,HRV,data_institutions,1.0
Czech Republic,Czech Republic,CZE,data_institutions,1.0
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,data_institutions,0.5
Democratic Republic of the Congo,DR Congo,COD,data_institutions,0.0
Kingdom of Denmark,Denmark,DNK,data_institutions,1.0
Dominican Republic,Dominican Republic,DOM,data_institutions,0.0
Republic of Ecuador,Ecuador,ECU,data_institutions,0.0
Arab Republic of Egypt,Egypt,EGY,data_institutions,0.5
Republic of El Salvador,El Salvador,SLV,data_institutions,0.0
Republic of Estonia,Estonia,EST,data_institutions,1.0
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,data_institutions,0.0
Republic of Finland,Finland,FIN,data_institutions,1.0
French Republic,France,FRA,data_institutions,1.0
Republic of the Gambia,Gambia,GMB,data_institutions,0.0
Georgia,Georgia,GEO,data_institutions,0.5
Federal Republic of Germany,Germany,DEU,data_institutions,1.0
Republic of Ghana,Ghana,GHA,data_institutions,0.75
Hellenic Republic,Greece,GRC,data_institutions,1.0
Republic of Guatemala,Guatemala,GTM,data_institutions,0.0
Co-operative Republic of Guyana,Guyana,GUY,data_institutions,0.0
Republic of Haiti,Haiti,HTI,data_institutions,0.0
Republic of Honduras,Honduras,HND,data_institutions,0.5
Republic of India,India,IND,data_institutions,0.5
Republic of Indonesia,Indonesia,IDN,data_institutions,0.5
Ireland,Ireland,IRL,data_institutions,1.0
State of Israel,Israel,ISR,data_institutions,1.0
Italian Republic,Italy,ITA,data_institutions,1.0
Jamaica,Jamaica,JAM,data_institutions,0.0
Hashemite Kingdom of Jordan,Jordan,JOR,data_institutions,0.5
Republic of Kazakhstan,Kazakhstan,KAZ,data_institutions,0.0
Republic of Kenya,Kenya,KEN,data_institutions,0.0
Republic of Kosovo,Kosovo,XKX,data_institutions,0.5
Kyrgyz Republic,Kyrgyz Republic,KGZ,data_institutions,0.0
Republic of Latvia,Latvia,LVA,data_institutions,0.5
Republic of Liberia,Liberia,LBR,data_institutions,0.0
Republic of Lithuania,Lithuania,LTU,data_institutions,0.5
Republic of Malawi,Malawi,MWI,data_institutions,0.0
Malaysia,Malaysia,MYS,data_institutions,1.0
