official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,data_use_by_international_organizations,1.0
Republic of Angola,Angola,AGO,data_use_by_international_organizations,0.8
Argentine Republic,Argentina,ARG,data_use_by_international_organizations,0.7
Republic of Armenia,Armenia,ARM,data_use_by_international_organizations,1.0
Commonwealth of Australia,Australia,AUS,data_use_by_international_organizations,1.0
Republic of Azerbaijan,Azerbaijan,AZE,data_use_by_international_organizations,0.8
Commonwealth of the Bahamas,Bahamas,BHS,data_use_by_international_organizations,1.0
Kingdom of Bahrain,Bahrain,BHR,data_use_by_international_organizations,0.9
People's Republic of Bangladesh,Bangladesh,BGD,data_use_by_international_organizations,0.9
Republic of Belarus,Belarus,BLR,data_use_by_international_organizations,1.0
Belize,Belize,BLZ,data_use_by_international_organizations,0.8
Republic of Benin,Benin,BEN,data_use_by_international_organizations,0.7
Plurinational State of Bolivia,Bolivia,BOL,data_use_by_international_organizations,1.0
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,data_use_by_international_organizations,0.8
Republic of Botswana,Botswana,BWA,data_use_by_international_organizations,0.6
Federative Republic of Brazil,Brazil,BRA,data_use_by_international_organizations,0.9
Republic of Bulgaria,Bulgaria,BGR,data_use_by_international_organizations,1.0
Burkina Faso,Burkina Faso,BFA,data_use_by_international_organizations,0.8
Kingdom of Cambodia,Cambodia,KHM,data_use_by_international_organizations,0.7
Republic of Cameroon,Cameroon,CMR,data_use_by_international_organizations,0.8
Canada,Canada,CAN,data_use_by_international_organizations,1.0
Republic of Chile,Chile,CHL,data_use_by_international_organizations,1.0
People's Republic of China,China,CHN,data_use_by_international_organizations,0.8340000000000001
Hong Kong SAR,Hong Kong,HKG,data_use_by_international_organizations,0.8
Republic of Colombia,Colombia,COL,data_use_by_international_organizations,1.0
Republic of Costa Rica,Costa Rica,CRI,data_use_by_international_organizations,1.0
Republic of Croatia,Croatia,HRV,data_use_by_international_organizations,0.8
Czech Republic,Czech Republic,CZE,data_use_by_international_organizations,0.9
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,data_use_by_international_organizations,0.9
Democratic Republic of the Congo,DR Congo,COD,data_use_by_international_organizations,0.6
Kingdom of Denmark,Denmark,DNK,data_use_by_international_organizations,0.9
Dominican Republic,Dominican Republic,DOM,data_use_by_international_organizations,1.0
Republic of Ecuador,Ecuador,ECU,data_use_by_international_organizations,1.0
Arab Republic of Egypt,Egypt,EGY,data_use_by_international_organizations,1.0
Republic of El Salvador,El Salvador,SLV,data_use_by_international_organizations,0.9
Republic of Estonia,Estonia,EST,data_use_by_international_organizations,1.0
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,data_use_by_international_organizations,0.9
Republic of Finland,Finland,FIN,data_use_by_international_organizations,1.0
French Republic,France,FRA,data_use_by_international_organizations,1.0
Republic of the Gambia,Gambia,GMB,data_use_by_international_organizations,0.6
Georgia,Georgia,GEO,data_use_by_international_organizations,1.0
Federal Republic of Germany,Germany,DEU,data_use_by_international_organizations,1.0
Republic of Ghana,Ghana,GHA,data_use_by_international_organizations,1.0
Hellenic Republic,Greece,GRC,data_use_by_international_organizations,1.0
Republic of Guatemala,Guatemala,GTM,data_use_by_international_organizations,0.8
Co-operative Republic of Guyana,Guyana,GUY,data_use_by_international_organizations,0.6
Republic of Haiti,Haiti,HTI,data_use_by_international_organizations,0.8
Republic of Honduras,Honduras,HND,data_use_by_international_organizations,0.9
Republic of India,India,IND,data_use_by_international_organizations,0.8
Republic of Indonesia,Indonesia,IDN,data_use_by_international_organizations,1.0
Ireland,Ireland,IRL,data_use_by_international_organizations,1.0
State of Israel,Israel,ISR,data_use_by_international_organizations,1.0
Italian Republic,Italy,ITA,data_use_by_international_organizations,1.0
Jamaica,Jamaica,JAM,data_use_by_international_organizations,0.6
Hashemite Kingdom of Jordan,Jordan,JOR,data_use_by_international_organizations,0.8
Republic of Kazakhstan,Kazakhstan,KAZ,data_use_by_international_organizations,1.0
Republic of Kenya,Kenya,KEN,data_use_by_international_organizations,0.7
Republic of Kosovo,Kosovo,XKX,data_use_by_international_organizations,0.4
Kyrgyz Republic,Kyrgyz Republic,KGZ,data_use_by_international_organizations,1.0
Republic of Latvia,Latvia,LVA,data_use_by_international_organizations,1.0
Republic of Liberia,Liberia,LBR,data_use_by_international_organizations,0.9
Republic of Lithuania,Lithuania,LTU,data_use_by_international_organizations,1.0
Republic of Malawi,Malawi,MWI,data_use_by_international_organizations,0.9
Malaysia,Malaysia,MYS,data_use_by_international_organizations,0.8
Republic of Malta,Malta,MLT,data_use_by_international_organizations,1.0
United Mexican States,Mexico,MEX,data_use_by_international_organizations,1.0
Mongolia,Mongolia,MNG,data_use_by_international_organizations,1.0
Montenegro,Montenegro,MNE,data_use_by_international_organizations,0.9
Kingdom of Morocco,Morocco,MAR,data_use_by_international_organizations,0.6
Republic of Mozambique,Mozambique,MOZ,data_use_by_international_organizations,0.8
Republic of Namibia,Namibia,NAM,data_use_by_international_organizations,0.7
Federal Democratic Republic of Nepal,Nepal,NPL,data_use_by_international_organizations,0.8
Kingdom of the Netherlands,Netherlands,NLD,data_use_by_international_organizations,1.0
New Caledonia,New Caledonia,NCL,data_use_by_international_organizations,0.7
New Zealand,New Zealand,NZL,data_use_by_international_organizations,1.0
Federal Republic of Nigeria,Nigeria,NGA,data_use_by_international_organizations,0.8
Republic of Macedonia,Macedonia,MKD,data_use_by_international_organizations,1.0
Sultanate of Oman,Oman,OMN,data_use_by_international_organizations,1.0
Republic of Panama,Panama,PAN,data_use_by_international_organizations,0.8
Republic of Paraguay,Paraguay,PRY,data_use_by_international_organizations,0.7
Republic of Peru,Peru,PER,data_use_by_international_organizations,0.9
Republic of the Philippines,Philippines,PHL,data_use_by_international_organizations,1.0
Portuguese Republic,Portugal,PRT,data_use_by_international_organizations,1.0
State of Qatar,Qatar,QAT,data_use_by_international_organizations,1.0
Republic of Korea,South Korea,KOR,data_use_by_international_organizations,1.0
Republic of Moldova,Moldova,MDA,data_use_by_international_organizations,1.0
Romania,Romania,ROU,data_use_by_international_organizations,0.9
Russian Federation,Russia,RUS,data_use_by_international_organizations,0.934
Republic of Rwanda,Rwanda,RWA,data_use_by_international_organizations,1.0
Saint Lucia,St. Lucia,LCA,data_use_by_international_organizations,0.8
Kingdom of Saudi Arabia,Saudi Arabia,SAU,data_use_by_international_organizations,0.8
Republic of Senegal,Senegal,SEN,data_use_by_international_organizations,0.8
Republic of Serbia,Serbia,SRB,data_use_by_international_organizations,1.0
Republic of Seychelles,Seychelles,SYC,data_use_by_international_organizations,0.4
Republic of Sierra Leone,Sierra Leone,SLE,data_use_by_international_organizations,0.9
Republic of South Africa,South Africa,ZAF,data_use_by_international_organizations,0.7659999999999999
Kingdom of Spain,Spain,ESP,data_use_by_international_organizations,1.0
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,data_use_by_international_organizations,1.0
State of Palestine,Palestine,PSE,data_use_by_international_organizations,0.8
Kingdom of Sweden,Sweden,SWE,data_use_by_international_organizations,1.0
Republic of China,Taiwan,TWN,data_use_by_international_organizations,0.6
Republic of Tajikistan,Tajikistan,TJK,data_use_by_international_organizations,0.9
Kingdom of Thailand,Thailand,THA,data_use_by_international_organizations,1.0
Togolese Republic,Togo,TGO,data_use_by_international_organizations,0.9
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,data_use_by_international_organizations,0.6
Republic of Tunisia,Tunisia,TUN,data_use_by_international_organizations,0.9
Republic of Turkey,Turkey,TUR,data_use_by_international_organizations,1.0
Turkmenistan,Turkmenistan,TKM,data_use_by_international_organizations,0.466
Republic of Uganda,Uganda,UGA,data_use_by_international_organizations,1.0
Ukraine,Ukraine,UKR,data_use_by_international_organizations,1.0
United Arab Emirates,United Arab Emirates,ARE,data_use_by_international_organizations,1.0
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,data_use_by_international_organizations,1.0
United States of America,United States,USA,data_use_by_international_organizations,1.0
Oriental Republic of Uruguay,Uruguay,URY,data_use_by_international_organizations,1.0
Republic of Uzbekistan,Uzbekistan,UZB,data_use_by_international_organizations,0.7
Socialist Republic of Vietnam,Vietnam,VNM,data_use_by_international_organizations,1.0
