official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,digital_goverment,0.7333333333333333
Republic of Angola,Angola,AGO,digital_goverment,0.2333333333333333
Argentine Republic,Argentina,ARG,digital_goverment,0.9333333333333332
Republic of Armenia,Armenia,ARM,digital_goverment,0.36666666666666664
Commonwealth of Australia,Australia,AUS,digital_goverment,0.9333333333333332
Republic of Azerbaijan,Azerbaijan,AZE,digital_goverment,0.6
Commonwealth of the Bahamas,Bahamas,BHS,digital_goverment,0.16666666666666666
Kingdom of Bahrain,Bahrain,BHR,digital_goverment,0.5333333333333333
People's Republic of Bangladesh,Bangladesh,BGD,digital_goverment,0.7333333333333333
Republic of Belarus,Belarus,BLR,digital_goverment,0.6
Belize,Belize,BLZ,digital_goverment,0.2
Republic of Benin,Benin,BEN,digital_goverment,0.4
Plurinational State of Bolivia,Bolivia,BOL,digital_goverment,0.4333333333333333
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,digital_goverment,0.13333333333333333
Republic of Botswana,Botswana,BWA,digital_goverment,0.2
Federative Republic of Brazil,Brazil,BRA,digital_goverment,1.0
Republic of Bulgaria,Bulgaria,BGR,digital_goverment,0.5
Burkina Faso,Burkina Faso,BFA,digital_goverment,0.4
Kingdom of Cambodia,Cambodia,KHM,digital_goverment,0.6
Republic of Cameroon,Cameroon,CMR,digital_goverment,0.2
Canada,Canada,CAN,digital_goverment,0.9333333333333332
Republic of Chile,Chile,CHL,digital_goverment,0.8333333333333333
People's Republic of China,China,CHN,digital_goverment,0.8666666666666668
Hong Kong SAR,Hong Kong,HKG,digital_goverment,0.7666666666666666
Republic of Colombia,Colombia,COL,digital_goverment,0.8333333333333333
Republic of Costa Rica,Costa Rica,CRI,digital_goverment,0.3
Republic of Croatia,Croatia,HRV,digital_goverment,0.7333333333333333
Czech Republic,Czech Republic,CZE,digital_goverment,0.9333333333333332
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,digital_goverment,0.06666666666666667
Democratic Republic of the Congo,DR Congo,COD,digital_goverment,0.2
Kingdom of Denmark,Denmark,DNK,digital_goverment,0.9333333333333332
Dominican Republic,Dominican Republic,DOM,digital_goverment,0.6
Republic of Ecuador,Ecuador,ECU,digital_goverment,0.6333333333333333
Arab Republic of Egypt,Egypt,EGY,digital_goverment,0.7666666666666666
Republic of El Salvador,El Salvador,SLV,digital_goverment,0.6
Republic of Estonia,Estonia,EST,digital_goverment,0.9333333333333332
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,digital_goverment,0.13333333333333333
Republic of Finland,Finland,FIN,digital_goverment,1.0
French Republic,France,FRA,digital_goverment,1.0
Republic of the Gambia,Gambia,GMB,digital_goverment,0.2
Georgia,Georgia,GEO,digital_goverment,0.4333333333333333
Federal Republic of Germany,Germany,DEU,digital_goverment,0.9333333333333332
Republic of Ghana,Ghana,GHA,digital_goverment,0.4666666666666666
Hellenic Republic,Greece,GRC,digital_goverment,0.5666666666666667
Republic of Guatemala,Guatemala,GTM,digital_goverment,0.13333333333333333
Co-operative Republic of Guyana,Guyana,GUY,digital_goverment,0.2
Republic of Haiti,Haiti,HTI,digital_goverment,0.2
Republic of Honduras,Honduras,HND,digital_goverment,0.3333333333333333
Republic of India,India,IND,digital_goverment,0.8333333333333333
Republic of Indonesia,Indonesia,IDN,digital_goverment,0.4
Ireland,Ireland,IRL,digital_goverment,0.6666666666666667
State of Israel,Israel,ISR,digital_goverment,0.7666666666666667
Italian Republic,Italy,ITA,digital_goverment,0.8333333333333333
Jamaica,Jamaica,JAM,digital_goverment,0.4333333333333333
Hashemite Kingdom of Jordan,Jordan,JOR,digital_goverment,0.26666666666666666
Republic of Kazakhstan,Kazakhstan,KAZ,digital_goverment,0.6666666666666667
Republic of Kenya,Kenya,KEN,digital_goverment,0.5333333333333333
Republic of Kosovo,Kosovo,XKX,digital_goverment,0.3333333333333333
Kyrgyz Republic,Kyrgyz Republic,KGZ,digital_goverment,0.5666666666666667
Republic of Latvia,Latvia,LVA,digital_goverment,0.6666666666666666
Republic of Liberia,Liberia,LBR,digital_goverment,0.0
Republic of Lithuania,Lithuania,LTU,digital_goverment,0.8
Republic of Malawi,Malawi,MWI,digital_goverment,0.26666666666666666
Malaysia,Malaysia,MYS,digital_goverment,0.9333333333333332
Republic of Malta,Malta,MLT,digital_goverment,0.9333333333333332
United Mexican States,Mexico,MEX,digital_goverment,0.8333333333333333
Mongolia,Mongolia,MNG,digital_goverment,0.39999999999999997
Montenegro,Montenegro,MNE,digital_goverment,0.26666666666666666
Kingdom of Morocco,Morocco,MAR,digital_goverment,0.6666666666666666
Republic of Mozambique,Mozambique,MOZ,digital_goverment,0.26666666666666666
Republic of Namibia,Namibia,NAM,digital_goverment,0.13333333333333333
Federal Democratic Republic of Nepal,Nepal,NPL,digital_goverment,0.7333333333333333
Kingdom of the Netherlands,Netherlands,NLD,digital_goverment,0.9333333333333332
New Caledonia,New Caledonia,NCL,digital_goverment,
New Zealand,New Zealand,NZL,digital_goverment,0.8333333333333333
Federal Republic of Nigeria,Nigeria,NGA,digital_goverment,0.5666666666666667
Republic of Macedonia,Macedonia,MKD,digital_goverment,0.5666666666666667
