official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,digital_skills,0.4572309828391057
Republic of Angola,Angola,AGO,digital_skills,0.0
Argentine Republic,Argentina,ARG,digital_skills,0.46182849500209877
Republic of Armenia,Armenia,ARM,digital_skills,0.6180840599141011
Commonwealth of Australia,Australia,AUS,digital_skills,0.7601628413270793
Republic of Azerbaijan,Azerbaijan,AZE,digital_skills,0.782322127714778
Commonwealth of the Bahamas,Bahamas,BHS,digital_skills,
Kingdom of Bahrain,Bahrain,BHR,digital_skills,0.7366202100619448
People's Republic of Bangladesh,Bangladesh,BGD,digital_skills,0.3259828624653949
Republic of Belarus,Belarus,BLR,digital_skills,
Belize,Belize,BLZ,digital_skills,
Republic of Benin,Benin,BEN,digital_skills,0.3652982004256906
Plurinational State of Bolivia,Bolivia,BOL,digital_skills,0.22905684353692823
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,digital_skills,0.369999924798631
Republic of Botswana,Botswana,BWA,digital_skills,0.36857848632121804
Federative Republic of Brazil,Brazil,BRA,digital_skills,0.189461048446262
Republic of Bulgaria,Bulgaria,BGR,digital_skills,0.6523936278963125
Burkina Faso,Burkina Faso,BFA,digital_skills,0.13161011648507148
Kingdom of Cambodia,Cambodia,KHM,digital_skills,0.3312399384482392
Republic of Cameroon,Cameroon,CMR,digital_skills,0.4289276908637283
Canada,Canada,CAN,digital_skills,0.7759688536373295
Republic of Chile,Chile,CHL,digital_skills,0.537181560770013
People's Republic of China,China,CHN,digital_skills,0.6537203601389565
Hong Kong SAR,Hong Kong,HKG,digital_skills,0.8264759332071014
Republic of Colombia,Colombia,COL,digital_skills,0.3990552331207158
Republic of Costa Rica,Costa Rica,CRI,digital_skills,0.7211961207638931
Republic of Croatia,Croatia,HRV,digital_skills,0.37512715814465025
Czech Republic,Czech Republic,CZE,digital_skills,0.6887322329460175
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,digital_skills,0.3957425571512512
Democratic Republic of the Congo,DR Congo,COD,digital_skills,0.11360537037349161
Kingdom of Denmark,Denmark,DNK,digital_skills,0.8771094758855051
Dominican Republic,Dominican Republic,DOM,digital_skills,0.3361489602394503
Republic of Ecuador,Ecuador,ECU,digital_skills,0.3885693170348212
Arab Republic of Egypt,Egypt,EGY,digital_skills,0.6544011184411374
Republic of El Salvador,El Salvador,SLV,digital_skills,0.21017101281242867
Republic of Estonia,Estonia,EST,digital_skills,0.8799550282878454
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,digital_skills,0.3852331931704507
Republic of Finland,Finland,FIN,digital_skills,1.0
French Republic,France,FRA,digital_skills,0.6042758210083603
Republic of the Gambia,Gambia,GMB,digital_skills,0.4690236336815372
Georgia,Georgia,GEO,digital_skills,0.35761727856444603
Federal Republic of Germany,Germany,DEU,digital_skills,0.7738429275077596
Republic of Ghana,Ghana,GHA,digital_skills,0.5213737176727953
Hellenic Republic,Greece,GRC,digital_skills,0.4914447178802601
Republic of Guatemala,Guatemala,GTM,digital_skills,0.2658227180567463
Co-operative Republic of Guyana,Guyana,GUY,digital_skills,
Republic of Haiti,Haiti,HTI,digital_skills,0.07909132159106258
Republic of Honduras,Honduras,HND,digital_skills,0.35043784200643313
Republic of India,India,IND,digital_skills,0.5867831222962101
Republic of Indonesia,Indonesia,IDN,digital_skills,0.608816931997034
Ireland,Ireland,IRL,digital_skills,0.7511866620513115
State of Israel,Israel,ISR,digital_skills,0.901641417587782
Italian Republic,Italy,ITA,digital_skills,0.5100555838352927
Jamaica,Jamaica,JAM,digital_skills,0.4111712935589882
Hashemite Kingdom of Jordan,Jordan,JOR,digital_skills,0.7304576157401894
Republic of Kazakhstan,Kazakhstan,KAZ,digital_skills,0.6628786287363908
Republic of Kenya,Kenya,KEN,digital_skills,0.6202939190171051
Republic of Kosovo,Kosovo,XKX,digital_skills,
