official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,goverment_online_services,0.8412
Republic of Angola,Angola,AGO,goverment_online_services,0.4882
Argentine Republic,Argentina,ARG,goverment_online_services,0.8471
Republic of Armenia,Armenia,ARM,goverment_online_services,0.7
Commonwealth of Australia,Australia,AUS,goverment_online_services,0.9471
Republic of Azerbaijan,Azerbaijan,AZE,goverment_online_services,0.7059
Commonwealth of the Bahamas,Bahamas,BHS,goverment_online_services,0.6765
Kingdom of Bahrain,Bahrain,BHR,goverment_online_services,0.7882
People's Republic of Bangladesh,Bangladesh,BGD,goverment_online_services,0.6118
Republic of Belarus,Belarus,BLR,goverment_online_services,0.7059
Belize,Belize,BLZ,goverment_online_services,0.2647
Republic of Benin,Benin,BEN,goverment_online_services,0.5118
Plurinational State of Bolivia,Bolivia,BOL,goverment_online_services,0.5824
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,goverment_online_services,0.5353
Republic of Botswana,Botswana,BWA,goverment_online_services,0.3647
Federative Republic of Brazil,Brazil,BRA,goverment_online_services,0.8706
Republic of Bulgaria,Bulgaria,BGR,goverment_online_services,0.7706
Burkina Faso,Burkina Faso,BFA,goverment_online_services,0.4647
Kingdom of Cambodia,Cambodia,KHM,goverment_online_services,0.4529
Republic of Cameroon,Cameroon,CMR,goverment_online_services,0.4706
Canada,Canada,CAN,goverment_online_services,0.8412
Republic of Chile,Chile,CHL,goverment_online_services,0.8529
People's Republic of China,China,CHN,goverment_online_services,0.9059
Hong Kong SAR,Hong Kong,HKG,goverment_online_services,
Republic of Colombia,Colombia,COL,goverment_online_services,0.7647
Republic of Costa Rica,Costa Rica,CRI,goverment_online_services,0.6824
Republic of Croatia,Croatia,HRV,goverment_online_services,0.7529
Czech Republic,Czech Republic,CZE,goverment_online_services,0.7235
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,goverment_online_services,0.4529
Democratic Republic of the Congo,DR Congo,COD,goverment_online_services,0.1294
Kingdom of Denmark,Denmark,DNK,goverment_online_services,0.9706
Dominican Republic,Dominican Republic,DOM,goverment_online_services,0.7647
Republic of Ecuador,Ecuador,ECU,goverment_online_services,0.8118
Arab Republic of Egypt,Egypt,EGY,goverment_online_services,0.5706
Republic of El Salvador,El Salvador,SLV,goverment_online_services,0.5765
Republic of Estonia,Estonia,EST,goverment_online_services,0.9941
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,goverment_online_services,0.3647
Republic of Finland,Finland,FIN,goverment_online_services,0.9706
French Republic,France,FRA,goverment_online_services,0.8824
Republic of the Gambia,Gambia,GMB,goverment_online_services,0.0294
Georgia,Georgia,GEO,goverment_online_services,0.5882
Federal Republic of Germany,Germany,DEU,goverment_online_services,0.7353
Republic of Ghana,Ghana,GHA,goverment_online_services,0.6353
Hellenic Republic,Greece,GRC,goverment_online_services,0.7059
Republic of Guatemala,Guatemala,GTM,goverment_online_services,0.5118
Co-operative Republic of Guyana,Guyana,GUY,goverment_online_services,0.4647
Republic of Haiti,Haiti,HTI,goverment_online_services,0.1882
Republic of Honduras,Honduras,HND,goverment_online_services,0.4647
Republic of India,India,IND,goverment_online_services,0.8529
Republic of Indonesia,Indonesia,IDN,goverment_online_services,0.6824
Ireland,Ireland,IRL,goverment_online_services,0.7706
State of Israel,Israel,ISR,goverment_online_services,0.7471
Italian Republic,Italy,ITA,goverment_online_services,0.8294
Jamaica,Jamaica,JAM,goverment_online_services,0.3882
Hashemite Kingdom of Jordan,Jordan,JOR,goverment_online_services,0.3588
Republic of Kazakhstan,Kazakhstan,KAZ,goverment_online_services,0.9235
Republic of Kenya,Kenya,KEN,goverment_online_services,0.6765
Republic of Kosovo,Kosovo,XKX,goverment_online_services,
Kyrgyz Republic,Kyrgyz Republic,KGZ,goverment_online_services,0.6471
Republic of Latvia,Latvia,LVA,goverment_online_services,0.5824
Republic of Liberia,Liberia,LBR,goverment_online_services,0.2471
Republic of Lithuania,Lithuania,LTU,goverment_online_services,0.8529
Republic of Malawi,Malawi,MWI,goverment_online_services,0.4235
Malaysia,Malaysia,MYS,goverment_online_services,0.8529
Republic of Malta,Malta,MLT,goverment_online_services,0.8118
United Mexican States,Mexico,MEX,goverment_online_services,0.8235
