official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,human_capital,0.8001
Republic of Angola,Angola,AGO,human_capital,0.5295
Argentine Republic,Argentina,ARG,human_capital,0.91
Republic of Armenia,Armenia,ARM,human_capital,0.7872
Commonwealth of Australia,Australia,AUS,human_capital,1.0
Republic of Azerbaijan,Azerbaijan,AZE,human_capital,0.7713
Commonwealth of the Bahamas,Bahamas,BHS,human_capital,0.7546
Kingdom of Bahrain,Bahrain,BHR,human_capital,0.8439
People's Republic of Bangladesh,Bangladesh,BGD,human_capital,0.5731
Republic of Belarus,Belarus,BLR,human_capital,0.8912
Belize,Belize,BLZ,human_capital,0.6919
Republic of Benin,Benin,BEN,human_capital,0.4404
Plurinational State of Bolivia,Bolivia,BOL,human_capital,0.7379
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,human_capital,0.7468
Republic of Botswana,Botswana,BWA,human_capital,0.6911
Federative Republic of Brazil,Brazil,BRA,human_capital,0.7803
Republic of Bulgaria,Bulgaria,BGR,human_capital,0.8408
Burkina Faso,Burkina Faso,BFA,human_capital,0.2911
Kingdom of Cambodia,Cambodia,KHM,human_capital,0.5344
Republic of Cameroon,Cameroon,CMR,human_capital,0.5971
Canada,Canada,CAN,human_capital,0.9029
Republic of Chile,Chile,CHL,human_capital,0.8643
People's Republic of China,China,CHN,human_capital,0.7396
Hong Kong SAR,Hong Kong,HKG,human_capital,
Republic of Colombia,Colombia,COL,human_capital,0.7723
Republic of Costa Rica,Costa Rica,CRI,human_capital,0.8428
Republic of Croatia,Croatia,HRV,human_capital,0.8414
Czech Republic,Czech Republic,CZE,human_capital,0.903
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,human_capital,0.3808
Democratic Republic of the Congo,DR Congo,COD,human_capital,0.5303
Kingdom of Denmark,Denmark,DNK,human_capital,0.9588
Dominican Republic,Dominican Republic,DOM,human_capital,0.7419
Republic of Ecuador,Ecuador,ECU,human_capital,0.7793
Arab Republic of Egypt,Egypt,EGY,human_capital,0.6192
Republic of El Salvador,El Salvador,SLV,human_capital,0.6242
Republic of Estonia,Estonia,EST,human_capital,0.9266
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,human_capital,0.3378
Republic of Finland,Finland,FIN,human_capital,0.9549
French Republic,France,FRA,human_capital,0.8612
Republic of the Gambia,Gambia,GMB,human_capital,0.363
Georgia,Georgia,GEO,human_capital,0.8717
Federal Republic of Germany,Germany,DEU,human_capital,0.9362
Republic of Ghana,Ghana,GHA,human_capital,0.593
Hellenic Republic,Greece,GRC,human_capital,0.8905
Republic of Guatemala,Guatemala,GTM,human_capital,0.552
Co-operative Republic of Guyana,Guyana,GUY,human_capital,0.6462
Republic of Haiti,Haiti,HTI,human_capital,0.3839
Republic of Honduras,Honduras,HND,human_capital,0.5568
Republic of India,India,IND,human_capital,0.5848
Republic of Indonesia,Indonesia,IDN,human_capital,0.7342
Ireland,Ireland,IRL,human_capital,0.9494
State of Israel,Israel,ISR,human_capital,0.8924
Italian Republic,Italy,ITA,human_capital,0.8466
Jamaica,Jamaica,JAM,human_capital,0.7142
Hashemite Kingdom of Jordan,Jordan,JOR,human_capital,0.68
Republic of Kazakhstan,Kazakhstan,KAZ,human_capital,0.8866
Republic of Kenya,Kenya,KEN,human_capital,0.5812
Republic of Kosovo,Kosovo,XKX,human_capital,
Kyrgyz Republic,Kyrgyz Republic,KGZ,human_capital,0.7873
