official_name,short_name,ISO3,Year,Value,ISO
Republic of Albania,Albania,ALB,2018.0,1.60052634452072,ALB
Republic of Albania,Albania,ALB,2019.0,1.48445764014504,ALB
Republic of Albania,Albania,ALB,2020.0,1.44,ALB
Republic of Angola,Angola,AGO,2018.0,9.75769679654699,AGO
Republic of Angola,Angola,AGO,2019.0,10.2695759728525,AGO
Republic of Angola,Angola,AGO,2020.0,8.6,AGO
Argentine Republic,Argentina,ARG,2018.0,4.66421787136804,ARG
Argentine Republic,Argentina,ARG,2019.0,6.10174843478571,ARG
Argentine Republic,Argentina,ARG,2020.0,6.96,ARG
Republic of Armenia,Armenia,ARM,2018.0,2.93092787692365,ARM
Republic of Armenia,Armenia,ARM,2019.0,2.64910788871795,ARM
Republic of Armenia,Armenia,ARM,2020.0,3.19,ARM
Commonwealth of Australia,Australia,AUS,2018.0,1.16177186644056,AUS
Commonwealth of Australia,Australia,AUS,2019.0,1.14297826804589,AUS
Commonwealth of Australia,Australia,AUS,2020.0,1.21,AUS
Republic of Azerbaijan,Azerbaijan,AZE,2018.0,1.7386094398862,AZE
Republic of Azerbaijan,Azerbaijan,AZE,2019.0,1.57561480489286,AZE
Republic of Azerbaijan,Azerbaijan,AZE,2020.0,1.54,AZE
Commonwealth of the Bahamas,Bahamas,BHS,2018.0,1.17916120576671,BHS
Commonwealth of the Bahamas,Bahamas,BHS,2019.0,1.31063561988672,BHS
Commonwealth of the Bahamas,Bahamas,BHS,2020.0,1.32,BHS
Kingdom of Bahrain,Bahrain,BHR,2018.0,1.4573010784028,BHR
Kingdom of Bahrain,Bahrain,BHR,2019.0,1.51563266838535,BHR
Kingdom of Bahrain,Bahrain,BHR,2020.0,1.82,BHR
People's Republic of Bangladesh,Bangladesh,BGD,2018.0,2.83433800914559,BGD
People's Republic of Bangladesh,Bangladesh,BGD,2019.0,2.55674820414433,BGD
People's Republic of Bangladesh,Bangladesh,BGD,2020.0,2.57,BGD
Republic of Belarus,Belarus,BLR,2018.0,0.981542903649296,BLR
Republic of Belarus,Belarus,BLR,2019.0,0.890890852031847,BLR
Republic of Belarus,Belarus,BLR,2020.0,0.91,BLR
Belize,Belize,BLZ,2018.0,9.30337078651685,BLZ
Belize,Belize,BLZ,2019.0,9.30337078651685,BLZ
Belize,Belize,BLZ,2020.0,9.47,BLZ
Republic of Benin,Benin,BEN,2018.0,27.0053031632543,BEN
Republic of Benin,Benin,BEN,2019.0,27.65343043872,BEN
Republic of Benin,Benin,BEN,2020.0,25.45,BEN
Plurinational State of Bolivia,Bolivia,BOL,2018.0,7.57513945728678,BOL
Plurinational State of Bolivia,Bolivia,BOL,2019.0,7.23179036022663,BOL
Plurinational State of Bolivia,Bolivia,BOL,2020.0,7.68,BOL
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,2018.0,2.51075153852517,BIH
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,2019.0,2.34336810263415,BIH
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,2020.0,2.25,BIH
Republic of Botswana,Botswana,BWA,2018.0,4.60555228994419,BWA
Republic of Botswana,Botswana,BWA,2019.0,4.4552405310705,BWA
Republic of Botswana,Botswana,BWA,2020.0,4.4,BWA
Federative Republic of Brazil,Brazil,BRA,2018.0,1.44318001865323,BRA
Federative Republic of Brazil,Brazil,BRA,2019.0,1.43527651360351,BRA
Federative Republic of Brazil,Brazil,BRA,2020.0,2.51,BRA
Republic of Bulgaria,Bulgaria,BGR,2018.0,1.60929367094974,BGR
Republic of Bulgaria,Bulgaria,BGR,2019.0,1.52378391162593,BGR
Republic of Bulgaria,Bulgaria,BGR,2020.0,1.73,BGR
Burkina Faso,Burkina Faso,BFA,2018.0,35.5159417681311,BFA
Burkina Faso,Burkina Faso,BFA,2019.0,34.1672351179747,BFA
Burkina Faso,Burkina Faso,BFA,2020.0,33.94,BFA
Kingdom of Cambodia,Cambodia,KHM,2018.0,10.4347826086957,KHM
Kingdom of Cambodia,Cambodia,KHM,2019.0,9.72972972972973,KHM
Kingdom of Cambodia,Cambodia,KHM,2020.0,12.16,KHM
Republic of Cameroon,Cameroon,CMR,2018.0,22.3434735879065,CMR
Republic of Cameroon,Cameroon,CMR,2019.0,21.449734644,CMR
Republic of Cameroon,Cameroon,CMR,2020.0,20.78,CMR
Canada,Canada,CAN,2018.0,0.928937088457701,CAN
Canada,Canada,CAN,2019.0,1.10459691087341,CAN
Canada,Canada,CAN,2020.0,1.12,CAN
Republic of Chile,Chile,CHL,2018.0,2.6865861701728,CHL
Republic of Chile,Chile,CHL,2019.0,2.61678146622252,CHL
Republic of Chile,Chile,CHL,2020.0,2.51,CHL
People's Republic of China,China,CHN,2018.0,0.565633005457297,CHN
People's Republic of China,China,CHN,2019.0,0.522707926270893,CHN
People's Republic of China,China,CHN,2020.0,0.51,CHN
Hong Kong SAR,Hong Kong,HKG,2018.0,0.422023392685299,HKG
Hong Kong SAR,Hong Kong,HKG,2019.0,0.505885257285602,HKG
Hong Kong SAR,Hong Kong,HKG,2020.0,0.59,HKG
Republic of Colombia,Colombia,COL,2018.0,3.88483699032275,COL
Republic of Colombia,Colombia,COL,2019.0,3.98510878046083,COL
Republic of Colombia,Colombia,COL,2020.0,4.16,COL
Republic of Costa Rica,Costa Rica,CRI,2018.0,1.77655186010072,CRI
Republic of Costa Rica,Costa Rica,CRI,2019.0,1.75984923579487,CRI
Republic of Costa Rica,Costa Rica,CRI,2020.0,1.75,CRI
Republic of Croatia,Croatia,HRV,2018.0,2.12720042525914,HRV
Republic of Croatia,Croatia,HRV,2019.0,0.625377412418511,HRV
Republic of Croatia,Croatia,HRV,2020.0,0.6,HRV
Czech Republic,Czech Republic,CZE,2018.0,1.3621591376421,CZE
Czech Republic,Czech Republic,CZE,2019.0,1.25256724336364,CZE
Czech Republic,Czech Republic,CZE,2020.0,0.95,CZE
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,2018.0,18.820190793828,CIV
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,2019.0,17.9161641615721,CIV
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,2020.0,17.56,CIV
Democratic Republic of the Congo,DR Congo,COD,2018.0,,COD
Democratic Republic of the Congo,DR Congo,COD,2019.0,,COD
Democratic Republic of the Congo,DR Congo,COD,2020.0,,COD
Kingdom of Denmark,Denmark,DNK,2018.0,0.87031890496485,DNK
Kingdom of Denmark,Denmark,DNK,2019.0,0.838390697191651,DNK
Kingdom of Denmark,Denmark,DNK,2020.0,0.82,DNK
Dominican Republic,Dominican Republic,DOM,2018.0,3.04530837464131,DOM
Dominican Republic,Dominican Republic,DOM,2019.0,2.921086895822,DOM
Dominican Republic,Dominican Republic,DOM,2020.0,2.89,DOM
Republic of Ecuador,Ecuador,ECU,2018.0,4.6128078817734,ECU
Republic of Ecuador,Ecuador,ECU,2019.0,4.62039473684211,ECU
Republic of Ecuador,Ecuador,ECU,2020.0,4.62,ECU
Arab Republic of Egypt,Egypt,EGY,2018.0,3.02482009732242,EGY
Arab Republic of Egypt,Egypt,EGY,2019.0,3.14851162545725,EGY
Arab Republic of Egypt,Egypt,EGY,2020.0,3.22,EGY
Republic of El Salvador,El Salvador,SLV,2018.0,7.85340314136126,SLV
Republic of El Salvador,El Salvador,SLV,2019.0,7.5,SLV
Republic of El Salvador,El Salvador,SLV,2020.0,8.4,SLV
Republic of Estonia,Estonia,EST,2018.0,1.06202934839509,EST
Republic of Estonia,Estonia,EST,2019.0,0.976499853074935,EST
Republic of Estonia,Estonia,EST,2020.0,0.93,EST
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,2018.0,30.0772341638888,ETH
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,2019.0,28.307985096,ETH
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,2020.0,25.01,ETH
Republic of Finland,Finland,FIN,2018.0,0.965301947144074,FIN
Republic of Finland,Finland,FIN,2019.0,0.940380880346914,FIN
Republic of Finland,Finland,FIN,2020.0,0.91,FIN
French Republic,France,FRA,2018.0,1.27605182037917,FRA
French Republic,France,FRA,2019.0,0.768400306981132,FRA
French Republic,France,FRA,2020.0,1.2,FRA
Republic of the Gambia,Gambia,GMB,2017.0,,GMB
Republic of the Gambia,Gambia,GMB,2018.0,,GMB
Republic of the Gambia,Gambia,GMB,2019.0,,GMB
Republic of the Gambia,Gambia,GMB,2020.0,,GMB
Georgia,Georgia,GEO,2017.0,,GEO
Georgia,Georgia,GEO,2018.0,2.86671517893939,GEO
Georgia,Georgia,GEO,2019.0,2.99708150455696,GEO
Georgia,Georgia,GEO,2020.0,2.79,GEO
Federal Republic of Germany,Germany,DEU,2018.0,1.05046091497723,DEU
Federal Republic of Germany,Germany,DEU,2019.0,1.02080033267931,DEU
Federal Republic of Germany,Germany,DEU,2020.0,0.99,DEU
Republic of Ghana,Ghana,GHA,2018.0,10.4436051847278,GHA
Republic of Ghana,Ghana,GHA,2019.0,,GHA
Republic of Ghana,Ghana,GHA,2020.0,12.81,GHA
Hellenic Republic,Greece,GRC,2018.0,1.34274888912874,GRC
Hellenic Republic,Greece,GRC,2019.0,1.29649277580709,GRC
Hellenic Republic,Greece,GRC,2020.0,1.45,GRC
Republic of Guatemala,Guatemala,GTM,2018.0,5.41668278883586,GTM
Republic of Guatemala,Guatemala,GTM,2019.0,6.19674693527115,GTM
Republic of Guatemala,Guatemala,GTM,2020.0,7.52,GTM
Co-operative Republic of Guyana,Guyana,GUY,2018.0,7.62892122948075,GUY
Co-operative Republic of Guyana,Guyana,GUY,2019.0,7.35966878942085,GUY
Co-operative Republic of Guyana,Guyana,GUY,2020.0,7.09,GUY
Republic of Haiti,Haiti,HTI,2018.0,82.5000000000001,HTI
Republic of Haiti,Haiti,HTI,2019.0,83.5443037974684,HTI
Republic of Haiti,Haiti,HTI,2020.0,83.54,HTI
Republic of Honduras,Honduras,HND,2018.0,17.5862068965517,HND
Republic of Honduras,Honduras,HND,2019.0,17.071129707113,HND
Republic of Honduras,Honduras,HND,2020.0,14.06,HND
Republic of India,India,IND,2018.0,2.56494066744524,IND
Republic of India,India,IND,2019.0,2.9064684875493,IND
Republic of India,India,IND,2020.0,3.17,IND
Republic of Indonesia,Indonesia,IDN,2018.0,6.02055589885237,IDN
Republic of Indonesia,Indonesia,IDN,2019.0,8.24147207496296,IDN
Republic of Indonesia,Indonesia,IDN,2020.0,10.93,IDN
Ireland,Ireland,IRL,2018.0,1.25913037172052,IRL
Ireland,Ireland,IRL,2019.0,1.20711357289825,IRL
Ireland,Ireland,IRL,2020.0,1.46,IRL
State of Israel,Israel,ISR,2018.0,0.808374739800534,ISR
State of Israel,Israel,ISR,2019.0,0.764305338406098,ISR
State of Israel,Israel,ISR,2020.0,0.76,ISR
Italian Republic,Italy,ITA,2018.0,1.04491918131303,ITA
Italian Republic,Italy,ITA,2019.0,1.43935256562972,ITA
Italian Republic,Italy,ITA,2020.0,1.4,ITA
Jamaica,Jamaica,JAM,2018.0,6.00242204871344,JAM
Jamaica,Jamaica,JAM,2019.0,6.09555053622857,JAM
Jamaica,Jamaica,JAM,2020.0,5.69,JAM
Hashemite Kingdom of Jordan,Jordan,JOR,2018.0,9.65794768611671,JOR
Hashemite Kingdom of Jordan,Jordan,JOR,2019.0,9.43334425144186,JOR
Hashemite Kingdom of Jordan,Jordan,JOR,2020.0,12.08,JOR
Republic of Kazakhstan,Kazakhstan,KAZ,2018.0,0.991740501614604,KAZ
Republic of Kazakhstan,Kazakhstan,KAZ,2019.0,0.908438802279228,KAZ
Republic of Kazakhstan,Kazakhstan,KAZ,2020.0,0.85,KAZ
Republic of Kenya,Kenya,KEN,2018.0,18.5016868453898,KEN
Republic of Kenya,Kenya,KEN,2019.0,16.9158279730286,KEN
Republic of Kenya,Kenya,KEN,2020.0,16.23,KEN
Republic of Kosovo,Kosovo,XKX,,,
Kyrgyz Republic,Kyrgyz Republic,KGZ,2018.0,11.1448219749985,KGZ
Kyrgyz Republic,Kyrgyz Republic,KGZ,2019.0,8.14001572993548,KGZ
Kyrgyz Republic,Kyrgyz Republic,KGZ,2020.0,8.2,KGZ
Republic of Latvia,Latvia,LVA,2018.0,1.50121335992024,LVA
Republic of Latvia,Latvia,LVA,2019.0,1.55862016521151,LVA
Republic of Latvia,Latvia,LVA,2020.0,1.49,LVA
Republic of Liberia,Liberia,LBR,2018.0,,LBR
Republic of Liberia,Liberia,LBR,2019.0,,LBR
Republic of Liberia,Liberia,LBR,2020.0,,LBR
Republic of Lithuania,Lithuania,LTU,2018.0,0.942589238204833,LTU
Republic of Lithuania,Lithuania,LTU,2019.0,0.862675142685624,LTU
Republic of Lithuania,Lithuania,LTU,2020.0,0.92,LTU
Republic of Malawi,Malawi,MWI,2018.0,123.878015475649,MWI
Republic of Malawi,Malawi,MWI,2019.0,114.098172148421,MWI
Republic of Malawi,Malawi,MWI,2020.0,108.1,MWI
Malaysia,Malaysia,MYS,2018.0,1.13114219218836,MYS
Malaysia,Malaysia,MYS,2019.0,2.22350768185714,MYS
Malaysia,Malaysia,MYS,2020.0,2.19,MYS
Republic of Malta,Malta,MLT,2018.0,1.07509437499721,MLT
Republic of Malta,Malta,MLT,2019.0,1.03806290880176,MLT
Republic of Malta,Malta,MLT,2020.0,1.0,MLT
United Mexican States,Mexico,MEX,2018.0,2.37061448101912,MEX
United Mexican States,Mexico,MEX,2019.0,2.30776680127253,MEX
United Mexican States,Mexico,MEX,2020.0,2.27,MEX
Mongolia,Mongolia,MNG,2018.0,1.91195276875036,MNG
Mongolia,Mongolia,MNG,2019.0,2.04151733365079,MNG
Mongolia,Mongolia,MNG,2020.0,1.88,MNG
Montenegro,Montenegro,MNE,2018.0,1.95685384201469,MNE
Montenegro,Montenegro,MNE,2019.0,1.83305731711432,MNE
Montenegro,Montenegro,MNE,2020.0,1.77,MNE
Kingdom of Morocco,Morocco,MAR,2018.0,4.09612000994767,MAR
Kingdom of Morocco,Morocco,MAR,2019.0,3.96771499410658,MAR
Kingdom of Morocco,Morocco,MAR,2020.0,3.93,MAR
Republic of Mozambique,Mozambique,MOZ,2018.0,28.1080518759266,MOZ
Republic of Mozambique,Mozambique,MOZ,2019.0,,MOZ
Republic of Mozambique,Mozambique,MOZ,2020.0,35.97,MOZ
Republic of Namibia,Namibia,NAM,2018.0,9.23414087130649,NAM
Republic of Namibia,Namibia,NAM,2019.0,8.94215222727273,NAM
Republic of Namibia,Namibia,NAM,2020.0,8.6,NAM
Federal Democratic Republic of Nepal,Nepal,NPL,2018.0,2.27138874321195,NPL
Federal Democratic Republic of Nepal,Nepal,NPL,2019.0,2.02132759717431,NPL
Federal Democratic Republic of Nepal,Nepal,NPL,2020.0,1.96,NPL
Kingdom of the Netherlands,Netherlands,NLD,2018.0,1.14620024533688,NLD
Kingdom of the Netherlands,Netherlands,NLD,2019.0,1.1321180451203,NLD
Kingdom of the Netherlands,Netherlands,NLD,2020.0,1.35,NLD
New Caledonia,New Caledonia,NCL,,,
New Zealand,New Zealand,NZL,2018.0,1.31312871561239,NZL
New Zealand,New Zealand,NZL,2019.0,1.26481345704242,NZL
New Zealand,New Zealand,NZL,2020.0,1.26,NZL
Federal Republic of Nigeria,Nigeria,NGA,2018.0,25.0752562070671,NGA
Federal Republic of Nigeria,Nigeria,NGA,2019.0,24.3341156293596,NGA
Federal Republic of Nigeria,Nigeria,NGA,2020.0,22.08,NGA
Republic of Macedonia,Macedonia,MKD,2018.0,3.78491942634224,MKD
Republic of Macedonia,Macedonia,MKD,2019.0,3.50313185482233,MKD
Republic of Macedonia,Macedonia,MKD,2020.0,3.35,MKD
Sultanate of Oman,Oman,OMN,2018.0,3.30607656873333,OMN
Sultanate of Oman,Oman,OMN,2019.0,3.05375369949119,OMN
Sultanate of Oman,Oman,OMN,2020.0,3.07,OMN
Republic of Panama,Panama,PAN,2018.0,2.65880721220527,PAN
Republic of Panama,Panama,PAN,2019.0,2.56454849498328,PAN
Republic of Panama,Panama,PAN,2020.0,4.49,PAN
Republic of Paraguay,Paraguay,PRY,2018.0,4.9915522939181,PRY
Republic of Paraguay,Paraguay,PRY,2019.0,5.12919620428312,PRY
Republic of Paraguay,Paraguay,PRY,2020.0,4.98,PRY
Republic of Peru,Peru,PER,2018.0,3.38031039026713,PER
Republic of Peru,Peru,PER,2019.0,3.35865837222552,PER
Republic of Peru,Peru,PER,2020.0,3.56,PER
Republic of the Philippines,Philippines,PHL,2018.0,4.29330620916446,PHL
Republic of the Philippines,Philippines,PHL,2019.0,4.13718598348052,PHL
Republic of the Philippines,Philippines,PHL,2020.0,7.85,PHL
Portuguese Republic,Portugal,PRT,2018.0,1.4171454117647,PRT
Portuguese Republic,Portugal,PRT,2019.0,1.35021783384749,PRT
Portuguese Republic,Portugal,PRT,2020.0,1.49,PRT
State of Qatar,Qatar,QAT,2018.0,1.61735239413081,QAT
State of Qatar,Qatar,QAT,2019.0,1.55970823058824,QAT
State of Qatar,Qatar,QAT,2020.0,1.72,QAT
Republic of Korea,South Korea,KOR,2018.0,1.15856645131228,KOR
Republic of Korea,South Korea,KOR,2019.0,1.12042858768683,KOR
Republic of Korea,South Korea,KOR,2020.0,1.11,KOR
Republic of Moldova,Moldova,MDA,2018.0,3.63459792287405,MDA
Republic of Moldova,Moldova,MDA,2019.0,4.7772474371,MDA
Republic of Moldova,Moldova,MDA,2020.0,2.25,MDA
Romania,Romania,ROU,2018.0,0.799064588357382,ROU
