official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,internet_access,0.9425812345034581
Republic of Angola,Angola,AGO,internet_access,0.568837269998695
Argentine Republic,Argentina,ARG,internet_access,0.6544434294662664
Republic of Armenia,Armenia,ARM,internet_access,0.8512331984862325
Commonwealth of Australia,Australia,AUS,internet_access,0.9545869763800078
Republic of Azerbaijan,Azerbaijan,AZE,internet_access,0.9373613467310453
Commonwealth of the Bahamas,Bahamas,BHS,internet_access,0.9488450998303536
Kingdom of Bahrain,Bahrain,BHR,internet_access,0.9227456609682891
People's Republic of Bangladesh,Bangladesh,BGD,internet_access,0.8835965026751924
Republic of Belarus,Belarus,BLR,internet_access,0.9702466396972464
Belize,Belize,BLZ,internet_access,0.5234242463787028
Republic of Benin,Benin,BEN,internet_access,0.0
Plurinational State of Bolivia,Bolivia,BOL,internet_access,0.6168602375048936
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,internet_access,0.9003001435469137
Republic of Botswana,Botswana,BWA,internet_access,0.7880725564400365
Federative Republic of Brazil,Brazil,BRA,internet_access,0.8867284353386401
Republic of Bulgaria,Bulgaria,BGR,internet_access,0.9274435599634607
Burkina Faso,Burkina Faso,BFA,internet_access,0.0
Kingdom of Cambodia,Cambodia,KHM,internet_access,0.383009265300796
Republic of Cameroon,Cameroon,CMR,internet_access,0.0
Canada,Canada,CAN,internet_access,0.9592848753751794
Republic of Chile,Chile,CHL,internet_access,0.8867284353386401
People's Republic of China,China,CHN,internet_access,0.991126190786898
Hong Kong SAR,Hong Kong,HKG,internet_access,0.9869502805689677
Republic of Colombia,Colombia,COL,internet_access,0.8006002870938275
Republic of Costa Rica,Costa Rica,CRI,internet_access,0.9263995824089782
Republic of Croatia,Croatia,HRV,internet_access,0.9864282917917264
Czech Republic,Czech Republic,CZE,internet_access,0.9681586845882814
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,internet_access,0.10113532559049981
Democratic Republic of the Congo,DR Congo,COD,internet_access,
Kingdom of Denmark,Denmark,DNK,internet_access,0.974944538692418
Dominican Republic,Dominican Republic,DOM,internet_access,0.8668928618034711
Republic of Ecuador,Ecuador,ECU,internet_access,0.7765888033407281
Arab Republic of Egypt,Egypt,EGY,internet_access,0.8496672321545087
Republic of El Salvador,El Salvador,SLV,internet_access,0.5792770455435208
Republic of Estonia,Estonia,EST,internet_access,0.969202662142764
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,internet_access,0.0
Republic of Finland,Finland,FIN,internet_access,0.9702466396972464
French Republic,France,FRA,internet_access,0.9551089651572492
Republic of the Gambia,Gambia,GMB,internet_access,
Georgia,Georgia,GEO,internet_access,0.8721127495758841
Federal Republic of Germany,Germany,DEU,internet_access,0.9660707294793163
Republic of Ghana,Ghana,GHA,internet_access,0.34907999478011215
Hellenic Republic,Greece,GRC,internet_access,0.9420592457262169
Republic of Guatemala,Guatemala,GTM,internet_access,0.6252120579407543
Co-operative Republic of Guyana,Guyana,GUY,internet_access,0.6476575753621296
Republic of Haiti,Haiti,HTI,internet_access,0.0
Republic of Honduras,Honduras,HND,internet_access,0.28383139762495097
Republic of India,India,IND,internet_access,0.8522771760407152
Republic of Indonesia,Indonesia,IDN,internet_access,0.44721388490147457
Ireland,Ireland,IRL,internet_access,0.9415372569489755
State of Israel,Israel,ISR,internet_access,0.9780764713558657
Italian Republic,Italy,ITA,internet_access,0.9446691896124234
Jamaica,Jamaica,JAM,internet_access,0.7207360041759101
Hashemite Kingdom of Jordan,Jordan,JOR,internet_access,0.3871851755187263
Republic of Kazakhstan,Kazakhstan,KAZ,internet_access,0.9733785723606941
Republic of Kenya,Kenya,KEN,internet_access,0.1705598329635912
Republic of Kosovo,Kosovo,XKX,internet_access,
Kyrgyz Republic,Kyrgyz Republic,KGZ,internet_access,0.5897168210883466
Republic of Latvia,Latvia,LVA,internet_access,0.9399712906172518
Republic of Liberia,Liberia,LBR,internet_access,
Republic of Lithuania,Lithuania,LTU,internet_access,0.9697246509200051
Republic of Malawi,Malawi,MWI,internet_access,0.0
Malaysia,Malaysia,MYS,internet_access,0.9034320762103614
Republic of Malta,Malta,MLT,internet_access,0.9655487407020749
United Mexican States,Mexico,MEX,internet_access,0.8992561659924312
Mongolia,Mongolia,MNG,internet_access,0.9196137283048414
Montenegro,Montenegro,MNE,internet_access,0.9253556048544956
Kingdom of Morocco,Morocco,MAR,internet_access,0.8126060289703771
Republic of Mozambique,Mozambique,MOZ,internet_access,0.0
Republic of Namibia,Namibia,NAM,internet_access,0.568837269998695
Federal Democratic Republic of Nepal,Nepal,NPL,internet_access,0.915437818086911
Kingdom of the Netherlands,Netherlands,NLD,internet_access,0.9472791334986297
New Caledonia,New Caledonia,NCL,internet_access,
New Zealand,New Zealand,NZL,internet_access,0.9519770324938013
Federal Republic of Nigeria,Nigeria,NGA,internet_access,0.0
Republic of Macedonia,Macedonia,MKD,internet_access,0.8428813780503718
Sultanate of Oman,Oman,OMN,internet_access,0.857497063813128
Republic of Panama,Panama,PAN,internet_access,0.7833746574448649
Republic of Paraguay,Paraguay,PRY,internet_access,0.7577972073600417
Republic of Peru,Peru,PER,internet_access,0.8319196137283048
Republic of the Philippines,Philippines,PHL,internet_access,0.6079864282917917
Portuguese Republic,Portugal,PRT,internet_access,0.9399712906172518
State of Qatar,Qatar,QAT,internet_access,0.9279655487407021
Republic of Korea,South Korea,KOR,internet_access,0.9598068641524208
Republic of Moldova,Moldova,MDA,internet_access,0.9003001435469137
Romania,Romania,ROU,internet_access,0.9827743703510373
Russian Federation,Russia,RUS,internet_access,0.9843403366827613
Republic of Rwanda,Rwanda,RWA,internet_access,0.0
Saint Lucia,St. Lucia,LCA,internet_access,0.8052981860889991
Kingdom of Saudi Arabia,Saudi Arabia,SAU,internet_access,0.8674148505807125
Republic of Senegal,Senegal,SEN,internet_access,0.03901866109878631
Republic of Serbia,Serbia,SRB,internet_access,0.8731567271303667
Republic of Seychelles,Seychelles,SYC,internet_access,0.9645047631475924
Republic of Sierra Leone,Sierra Leone,SLE,internet_access,
Republic of South Africa,South Africa,ZAF,internet_access,0.7729348819000391
Kingdom of Spain,Spain,ESP,internet_access,0.9279655487407021
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,internet_access,0.971290617251729
State of Palestine,Palestine,PSE,internet_access,
Kingdom of Sweden,Sweden,SWE,internet_access,0.9629387968158684
Republic of China,Taiwan,TWN,internet_access,
Republic of Tajikistan,Tajikistan,TJK,internet_access,0.6288659793814433
Kingdom of Thailand,Thailand,THA,internet_access,0.8460133107138197
Togolese Republic,Togo,TGO,internet_access,0.0
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,internet_access,0.940493279394493
Republic of Tunisia,Tunisia,TUN,internet_access,0.862716951585541
Republic of Turkey,Turkey,TUR,internet_access,0.9681586845882814
Turkmenistan,Turkmenistan,TKM,internet_access,0.6152942711731697
Republic of Uganda,Uganda,UGA,internet_access,
Ukraine,Ukraine,UKR,internet_access,0.9342294140675974
United Arab Emirates,United Arab Emirates,ARE,internet_access,0.9890382356779329
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,internet_access,0.9138718517551874
United States of America,United States,USA,internet_access,0.9660707294793163
Oriental Republic of Uruguay,Uruguay,URY,internet_access,0.8794205924572622
Republic of Uzbekistan,Uzbekistan,UZB,internet_access,0.8961242333289833
Socialist Republic of Vietnam,Vietnam,VNM,internet_access,0.8131280177476184
