official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,knowledge_intensive_employment,0.259
Republic of Angola,Angola,AGO,knowledge_intensive_employment,
Argentine Republic,Argentina,ARG,knowledge_intensive_employment,0.381
Republic of Armenia,Armenia,ARM,knowledge_intensive_employment,0.479
Commonwealth of Australia,Australia,AUS,knowledge_intensive_employment,0.7859999999999999
Republic of Azerbaijan,Azerbaijan,AZE,knowledge_intensive_employment,0.366
Commonwealth of the Bahamas,Bahamas,BHS,knowledge_intensive_employment,
Kingdom of Bahrain,Bahrain,BHR,knowledge_intensive_employment,0.341
People's Republic of Bangladesh,Bangladesh,BGD,knowledge_intensive_employment,0.091
Republic of Belarus,Belarus,BLR,knowledge_intensive_employment,0.677
Belize,Belize,BLZ,knowledge_intensive_employment,
Republic of Benin,Benin,BEN,knowledge_intensive_employment,0.0
Plurinational State of Bolivia,Bolivia,BOL,knowledge_intensive_employment,0.203
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,knowledge_intensive_employment,0.33899999999999997
Republic of Botswana,Botswana,BWA,knowledge_intensive_employment,0.268
Federative Republic of Brazil,Brazil,BRA,knowledge_intensive_employment,0.37
Republic of Bulgaria,Bulgaria,BGR,knowledge_intensive_employment,0.52
Burkina Faso,Burkina Faso,BFA,knowledge_intensive_employment,0.0
Kingdom of Cambodia,Cambodia,KHM,knowledge_intensive_employment,0.035
Republic of Cameroon,Cameroon,CMR,knowledge_intensive_employment,0.138
Canada,Canada,CAN,knowledge_intensive_employment,0.743
Republic of Chile,Chile,CHL,knowledge_intensive_employment,0.423
People's Republic of China,China,CHN,knowledge_intensive_employment,0.0
Hong Kong SAR,Hong Kong,HKG,knowledge_intensive_employment,0.6559999999999999
Republic of Colombia,Colombia,COL,knowledge_intensive_employment,0.0
Republic of Costa Rica,Costa Rica,CRI,knowledge_intensive_employment,0.442
Republic of Croatia,Croatia,HRV,knowledge_intensive_employment,0.62
Czech Republic,Czech Republic,CZE,knowledge_intensive_employment,0.638
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,knowledge_intensive_employment,0.127
Democratic Republic of the Congo,DR Congo,COD,knowledge_intensive_employment,
Kingdom of Denmark,Denmark,DNK,knowledge_intensive_employment,0.804
Dominican Republic,Dominican Republic,DOM,knowledge_intensive_employment,0.24
Republic of Ecuador,Ecuador,ECU,knowledge_intensive_employment,0.17800000000000002
Arab Republic of Egypt,Egypt,EGY,knowledge_intensive_employment,0.496
Republic of El Salvador,El Salvador,SLV,knowledge_intensive_employment,0.174
Republic of Estonia,Estonia,EST,knowledge_intensive_employment,0.804
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,knowledge_intensive_employment,0.021
Republic of Finland,Finland,FIN,knowledge_intensive_employment,0.818
French Republic,France,FRA,knowledge_intensive_employment,0.778
Republic of the Gambia,Gambia,GMB,knowledge_intensive_employment,
Georgia,Georgia,GEO,knowledge_intensive_employment,0.409
Federal Republic of Germany,Germany,DEU,knowledge_intensive_employment,0.77
Republic of Ghana,Ghana,GHA,knowledge_intensive_employment,0.162
Hellenic Republic,Greece,GRC,knowledge_intensive_employment,0.491
Republic of Guatemala,Guatemala,GTM,knowledge_intensive_employment,0.105
Co-operative Republic of Guyana,Guyana,GUY,knowledge_intensive_employment,
Republic of Haiti,Haiti,HTI,knowledge_intensive_employment,
Republic of Honduras,Honduras,HND,knowledge_intensive_employment,0.17800000000000002
Republic of India,India,IND,knowledge_intensive_employment,0.22699999999999998
Republic of Indonesia,Indonesia,IDN,knowledge_intensive_employment,0.204
Ireland,Ireland,IRL,knowledge_intensive_employment,0.738
State of Israel,Israel,ISR,knowledge_intensive_employment,0.83
Italian Republic,Italy,ITA,knowledge_intensive_employment,0.608
Jamaica,Jamaica,JAM,knowledge_intensive_employment,0.337
