official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,political_freedoms_and_civil_liberties,0.67
Republic of Angola,Angola,AGO,political_freedoms_and_civil_liberties,0.32
Argentine Republic,Argentina,ARG,political_freedoms_and_civil_liberties,0.85
Republic of Armenia,Armenia,ARM,political_freedoms_and_civil_liberties,0.53
Commonwealth of Australia,Australia,AUS,political_freedoms_and_civil_liberties,0.97
Republic of Azerbaijan,Azerbaijan,AZE,political_freedoms_and_civil_liberties,0.1
Commonwealth of the Bahamas,Bahamas,BHS,political_freedoms_and_civil_liberties,0.91
Kingdom of Bahrain,Bahrain,BHR,political_freedoms_and_civil_liberties,0.11
People's Republic of Bangladesh,Bangladesh,BGD,political_freedoms_and_civil_liberties,0.39
Republic of Belarus,Belarus,BLR,political_freedoms_and_civil_liberties,0.19
Belize,Belize,BLZ,political_freedoms_and_civil_liberties,0.86
Republic of Benin,Benin,BEN,political_freedoms_and_civil_liberties,0.66
Plurinational State of Bolivia,Bolivia,BOL,political_freedoms_and_civil_liberties,0.63
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,political_freedoms_and_civil_liberties,0.53
Republic of Botswana,Botswana,BWA,political_freedoms_and_civil_liberties,0.72
Federative Republic of Brazil,Brazil,BRA,political_freedoms_and_civil_liberties,0.75
Republic of Bulgaria,Bulgaria,BGR,political_freedoms_and_civil_liberties,0.8
Burkina Faso,Burkina Faso,BFA,political_freedoms_and_civil_liberties,0.56
Kingdom of Cambodia,Cambodia,KHM,political_freedoms_and_civil_liberties,0.25
Republic of Cameroon,Cameroon,CMR,political_freedoms_and_civil_liberties,0.18
Canada,Canada,CAN,political_freedoms_and_civil_liberties,0.98
Republic of Chile,Chile,CHL,political_freedoms_and_civil_liberties,0.9
People's Republic of China,China,CHN,political_freedoms_and_civil_liberties,0.1
Hong Kong SAR,Hong Kong,HKG,political_freedoms_and_civil_liberties,0.55
Republic of Colombia,Colombia,COL,political_freedoms_and_civil_liberties,0.66
Republic of Costa Rica,Costa Rica,CRI,political_freedoms_and_civil_liberties,0.91
Republic of Croatia,Croatia,HRV,political_freedoms_and_civil_liberties,0.85
Czech Republic,Czech Republic,CZE,political_freedoms_and_civil_liberties,0.91
