official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,use_standars_and_statistic_methods,0.75
Republic of Angola,Angola,AGO,use_standars_and_statistic_methods,0.4
Argentine Republic,Argentina,ARG,use_standars_and_statistic_methods,0.35
Republic of Armenia,Armenia,ARM,use_standars_and_statistic_methods,0.85
Commonwealth of Australia,Australia,AUS,use_standars_and_statistic_methods,1.0
Republic of Azerbaijan,Azerbaijan,AZE,use_standars_and_statistic_methods,0.8
Commonwealth of the Bahamas,Bahamas,BHS,use_standars_and_statistic_methods,0.6
Kingdom of Bahrain,Bahrain,BHR,use_standars_and_statistic_methods,0.3
People's Republic of Bangladesh,Bangladesh,BGD,use_standars_and_statistic_methods,0.25
Republic of Belarus,Belarus,BLR,use_standars_and_statistic_methods,0.85
Belize,Belize,BLZ,use_standars_and_statistic_methods,0.3
Republic of Benin,Benin,BEN,use_standars_and_statistic_methods,0.25
Plurinational State of Bolivia,Bolivia,BOL,use_standars_and_statistic_methods,0.2
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,use_standars_and_statistic_methods,0.6
Republic of Botswana,Botswana,BWA,use_standars_and_statistic_methods,0.4
Federative Republic of Brazil,Brazil,BRA,use_standars_and_statistic_methods,0.75
Republic of Bulgaria,Bulgaria,BGR,use_standars_and_statistic_methods,0.9
Burkina Faso,Burkina Faso,BFA,use_standars_and_statistic_methods,0.35
Kingdom of Cambodia,Cambodia,KHM,use_standars_and_statistic_methods,0.45
Republic of Cameroon,Cameroon,CMR,use_standars_and_statistic_methods,0.35
Canada,Canada,CAN,use_standars_and_statistic_methods,1.0
Republic of Chile,Chile,CHL,use_standars_and_statistic_methods,0.95
People's Republic of China,China,CHN,use_standars_and_statistic_methods,0.65
Hong Kong SAR,Hong Kong,HKG,use_standars_and_statistic_methods,
Republic of Colombia,Colombia,COL,use_standars_and_statistic_methods,0.55
Republic of Costa Rica,Costa Rica,CRI,use_standars_and_statistic_methods,0.7
Republic of Croatia,Croatia,HRV,use_standars_and_statistic_methods,0.9
Czech Republic,Czech Republic,CZE,use_standars_and_statistic_methods,0.95
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,use_standars_and_statistic_methods,0.25
Democratic Republic of the Congo,DR Congo,COD,use_standars_and_statistic_methods,0.2
Kingdom of Denmark,Denmark,DNK,use_standars_and_statistic_methods,1.0
Dominican Republic,Dominican Republic,DOM,use_standars_and_statistic_methods,0.6
Republic of Ecuador,Ecuador,ECU,use_standars_and_statistic_methods,0.45
Arab Republic of Egypt,Egypt,EGY,use_standars_and_statistic_methods,0.6
Republic of El Salvador,El Salvador,SLV,use_standars_and_statistic_methods,0.6
Republic of Estonia,Estonia,EST,use_standars_and_statistic_methods,1.0
Federal Democratic Republic of Ethiopia,Ethiopia,ETH,use_standars_and_statistic_methods,0.15
Republic of Finland,Finland,FIN,use_standars_and_statistic_methods,1.0
French Republic,France,FRA,use_standars_and_statistic_methods,1.0
Republic of the Gambia,Gambia,GMB,use_standars_and_statistic_methods,0.35
Georgia,Georgia,GEO,use_standars_and_statistic_methods,0.8
Federal Republic of Germany,Germany,DEU,use_standars_and_statistic_methods,0.95
Republic of Ghana,Ghana,GHA,use_standars_and_statistic_methods,0.5
Hellenic Republic,Greece,GRC,use_standars_and_statistic_methods,1.0
Republic of Guatemala,Guatemala,GTM,use_standars_and_statistic_methods,0.35
Co-operative Republic of Guyana,Guyana,GUY,use_standars_and_statistic_methods,0.25
Republic of Haiti,Haiti,HTI,use_standars_and_statistic_methods,0.2
Republic of Honduras,Honduras,HND,use_standars_and_statistic_methods,0.4
Republic of India,India,IND,use_standars_and_statistic_methods,0.55
Republic of Indonesia,Indonesia,IDN,use_standars_and_statistic_methods,0.55
Ireland,Ireland,IRL,use_standars_and_statistic_methods,1.0
State of Israel,Israel,ISR,use_standars_and_statistic_methods,1.0
Italian Republic,Italy,ITA,use_standars_and_statistic_methods,1.0
Jamaica,Jamaica,JAM,use_standars_and_statistic_methods,0.3
Hashemite Kingdom of Jordan,Jordan,JOR,use_standars_and_statistic_methods,0.3
